序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Owner,所有者,STRING,4
2,ACBus_Name,母线名称,STRING,10
3,ACBus_kV,基准电压(kV),DOUBLE,4
4,ACBus_Zone,分区名,STRING,4
5,ACBus_PLoad,恒定有功负荷(MW),DOUBLE,4
6,ACBus_QLoad,"恒定无功负荷(MVAR),+感性",DOUBLE,4
7,ACBus_PShunt,并联导纳有功负荷(MW),DOUBLE,4
8,ACBus_QShunt,"并联导纳无功负荷(MVAR),+容性",DOUBLE,4
9,ACBus_Pmax,最大有功出力(MW),DOUBLE,4
10,ACBus_PGen,实际有功出力(MW),DOUBLE,4
11,ACBus_Qsched_Qmax,"安排的无功出力值,+容性",DOUBLE,4
12,ACBus_Qmin,"无功出力最小值(MVAR),此处填0",DOUBLE,4
13,ACBus_VHold_max,安排的Vmax(pu),DOUBLE,4
14,ACBus_Vmin,安排的Vmin(pu),DOUBLE,4
15,ACBus_RBusName,远方要控制的母线名称,STRING,10
16,ACBus_RBusVolt,远方要控制的基准电压(kV),DOUBLE,4
17,ACBus_VarSppld,提供的无功功率百分数(%),DOUBLE,4
18,ACBus_AddCode,延续节点负荷模型类型子代码,STRING,4
19,ACBus_AddPLoad,延续节点恒定有功负荷(MW),DOUBLE,4
20,ACBus_AddQLoad,"延续节点恒定无功负荷(MVAR),+感性",DOUBLE,4
21,ACBus_AddPShunt,延续节点并联导纳有功负荷(MW),DOUBLE,4
22,ACBus_AddQShunt,"延续节点并联导纳无功负荷(MVAR),+容性",DOUBLE,4
23,ACBus_AddPGen,延续节点有功出力(MW),DOUBLE,4
24,ACBus_AddQGen,"延续节点无功出力(MVAR),+感性",DOUBLE,4
25,ACBus_BpaSub,母线所属BPA厂站,STRING,10
26,ACBus_Alias,交流母线别名,STRING,64
27,ACBus_V,母线电压,DOUBLE,4
28,ACBus_D,母线功角,DOUBLE,4
29,ACBus_PfoPGen,母线计算发电有功,DOUBLE,4
30,ACBus_PfoQGen,母线计算发电无功,DOUBLE,4
31,ACBus_PfoPLoad,母线计算负荷有功,DOUBLE,4
32,ACBus_PfoQLoad,母线计算负荷无功,DOUBLE,4
33,ACBus_PfoQShunt,母线计算补偿无功,DOUBLE,4
34,ACBus_PfoPNet,母线计算注入有功,DOUBLE,4
35,ACBus_PfoQNet,母线计算注入无功,DOUBLE,4
36,vd_Rerr,母线故障率(次/年),DOUBLE,8
37,vd_RScc1,单相接地频率(次/年),DOUBLE,4
38,vd_RScc2,相间短路频率(次/年),DOUBLE,4
39,vd_RScc3,三相短路频率(次/年),DOUBLE,4
40,vd_RScc4,两相接地频率(次/年),DOUBLE,4
41,ACBus_RtGenP,RT实际有功出力(MW),DOUBLE,4
42,ACBus_RtGenQ,RT安排的无功出力值,DOUBLE,4
43,ACBus_RtLoadP,RT恒定有功负荷(MW),DOUBLE,4
44,ACBus_RtLoadQ,RT恒定无功负荷(MVAR),DOUBLE,4
45,ACBus_RtShuntQ,RT并联导纳无功负荷(MVAR),DOUBLE,4
46,ACBus_RtVHold,RT安排的V(pu),DOUBLE,4
47,ACBus_SccA,母线故障电流(A),DOUBLE,4
48,ACBus_SccV,母线故障电压(kV),DOUBLE,4
49,ACBus_SccR1,"母线正序等值阻抗(R1,pu)",DOUBLE,4
50,ACBus_SccX1,"母线正序等值阻抗(X1,pu)",DOUBLE,4
51,ACBus_SccR2,"母线负序等值阻抗(R2,pu)",DOUBLE,4
52,ACBus_SccX2,"母线负序等值阻抗(X2,pu)",DOUBLE,4
53,ACBus_SccR0,"母线零序等值阻抗(R0,pu)",DOUBLE,4
54,ACBus_SccX0,"母线零序等值阻抗(X0,pu)",DOUBLE,4
55,ACBus_SccA1Re,正序故障电流实部(pu),DOUBLE,4
56,ACBus_SccA1Im,正序故障电流虚部(pu),DOUBLE,4
57,ACBus_SccA2Re,负序故障电流实部(pu),DOUBLE,4
58,ACBus_SccA2Im,负序故障电流虚部(pu),DOUBLE,4
59,ACBus_SccA0Re,零序故障电流实部(pu),DOUBLE,4
60,ACBus_SccA0Im,零序故障电流虚部(pu),DOUBLE,4
61,ACBus_SccV1Re,正序故障电压实部(pu),DOUBLE,4
62,ACBus_SccV1Im,正序故障电压虚部(pu),DOUBLE,4
63,ACBus_SccV2Re,负序故障电压实部(pu),DOUBLE,4
64,ACBus_SccV2Im,负序故障电压虚部(pu),DOUBLE,4
65,ACBus_SccV0Re,零序故障电压实部(pu),DOUBLE,4
66,ACBus_SccV0Im,零序故障电压虚部(pu),DOUBLE,4
67,ACBus_VDipBus1,母线单相接地暂降母线数,INTEGER,4
68,ACBus_VDipBus2,母线相间短路暂降母线数,INTEGER,4
69,ACBus_VDipBus3,母线三相短路暂降母线数,INTEGER,4
70,ACBus_VDipBus4,母线两相接地暂降母线数,INTEGER,4
71,ACBus_IniPLoad,Ini恒定有功负荷(MW),DOUBLE,4
72,ACBus_IniQLoad,"Ini恒定无功负荷(MVAR),+感性",DOUBLE,4
73,ACBus_IniPShunt,Ini并联导纳有功负荷(MW),DOUBLE,4
74,ACBus_IniQShunt,"Ini并联导纳无功负荷(MVAR),+容性",DOUBLE,4
75,ACBus_IniPGen,Ini有功出力(MW),DOUBLE,4
76,ACBus_IniQGen,"Ini无功出力值,+容性",DOUBLE,4
77,TMid,变压器中性点标记,INTEGER,1
78,Generator,发电机母线标记,INTEGER,1
79,WTGen,并网风电机组机标记,INTEGER,1
80,PVGen,并网光伏机组机标记,INTEGER,1
81,DCBound,交直流边界母线,INTEGER,1
82,GenLn,等值发电机母线标记,INTEGER,1
83,Status,母线状态,INTEGER,1
84,Redcution,化简等值母线,INTEGER,1
85,InRing,环网设备,INTEGER,1
86,Radiate,所在辐射网,INTEGER,2
87,ACIsland,交流岛,INTEGER,2
88,pRLine,母线线路索引,INTEGER,4
89,pRTran,母线变压器索引,INTEGER,4
90,pRHG,母线高抗索引,INTEGER,2
91,pRSub,母线厂站索引,INTEGER,4
