序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACLine_Owner,所有者,STRING,4
2,ACLine_BusI,母线名称1,STRING,10
3,ACLine_kVI,基准电压1(kV),DOUBLE,4
4,ACLine_Meter,区域联络线测点标志,INTEGER,1
5,ACLine_BusJ,母线名称2,STRING,10
6,ACLine_kVJ,基准电压2(kV),DOUBLE,4
7,ACLine_Loop,并联线路的回路标志,INTEGER,1
8,ACLine_Section,分段串连而成的线路的段号,INTEGER,1
9,ACLine_AMP,线路额定电流(安培),DOUBLE,4
10,ACLine_LoopNum,并联线路数目,INTEGER,1
11,ACLine_R,"电阻(R,pu)",DOUBLE,4
12,ACLine_X,"电抗(X,pu)",DOUBLE,4
13,ACLine_G1,"线路母线1端对地电导(G/2,pu)",DOUBLE,4
14,ACLine_B1,"线路母线1端对地电纳(B/2,pu)",DOUBLE,4
15,ACLine_G2,"线路母线2端对地电导(G/2,pu)",DOUBLE,4
16,ACLine_B2,"线路母线2端对地电纳(B/2,pu)",DOUBLE,4
17,ACLine_Miles,线路或段长度,DOUBLE,4
18,vd_Rerr,线路故障率(次/年),DOUBLE,8
19,vd_RScc1,单相接地频率(次/年),DOUBLE,4
20,vd_RScc2,相间短路频率(次/年),DOUBLE,4
21,vd_RScc3,三相短路频率(次/年),DOUBLE,4
22,vd_RScc4,两相接地频率(次/年),DOUBLE,4
23,ACLine_Pi,线路BUS1侧有功(MW),DOUBLE,4
24,ACLine_Qi,线路BUS1侧无功(MVar),DOUBLE,4
25,ACLine_Pz,线路BUS2侧有功(MW),DOUBLE,4
26,ACLine_Qz,线路BUS2侧无功(MVar),DOUBLE,4
27,ACLine_LossP,线路有功损耗(MW),DOUBLE,4
28,ACLine_LossQ,线路无功损耗(MVar),DOUBLE,4
29,ACLine_SccA,线路故障电流(A),DOUBLE,4
30,ACLine_VDipBus1,线路中点单相接地暂降母线数,INTEGER,4
31,ACLine_VDipBus2,线路中点相间短路暂降母线数,INTEGER,4
32,ACLine_VDipBus3,线路中点三相短路暂降母线数,INTEGER,4
33,ACLine_VDipBus4,线路中点两相接地暂降母线数,INTEGER,4
34,KeyName,线路名称,STRING,32
35,IniBusI,Ini母线名称1,STRING,10
36,InikVI,Ini基准电压1(kV),DOUBLE,4
37,IniBusJ,Ini母线名称2,STRING,10
38,InikVJ,Ini基准电压2(kV),DOUBLE,4
39,IniLoop,Ini并联线路的回路标志,INTEGER,1
40,iRBus,线路I母线索引,INTEGER,4
41,zRBus,线路Z母线索引,INTEGER,4
42,Alias,交流线路别名,STRING,64
43,Status,状态,INTEGER,1
44,InRing,环网设备,INTEGER,1
45,Radiate,所在辐射网,INTEGER,2
