序号,名称,描述,类型,长度
0,Area_Name,区域名称,STRING,16
1,CardKey,卡类型,STRING,8
2,SlackBusName,区域缓冲节点名称,STRING,10
3,SlackBuskV,区域缓冲节点基准电压,DOUBLE,4
4,OutP,安排的区域交换功率(MW)值,DOUBLE,4
5,MK_TJ,马达的惯性时间常数(秒),DOUBLE,4
6,MK_Pper,马达功率占母线有功负荷的比例,DOUBLE,4
7,MK_KL,马达的负载率,DOUBLE,4
8,MK_Pmin,马达的功率因数,DOUBLE,4
9,MK_RS,定子电阻(pu),DOUBLE,4
10,MK_XS,定子电抗(pu),DOUBLE,4
11,MK_XM,激磁电抗(pu),DOUBLE,4
12,MK_RR,转子电阻(pu),DOUBLE,4
13,MK_XR,转子电抗(pu),DOUBLE,4
14,MK_VI,马达低压释放的电压值,DOUBLE,4
15,MK_TI,马达低压释放时延(秒),DOUBLE,4
16,MK_A,转矩方程常数,DOUBLE,4
17,MK_B,转矩方程常数,DOUBLE,4
18,MK_IM,马达滑差达到1时的处理方式,INTEGER,1
