序号,名称,描述,类型,长度
0,Case_CaseID,潮流方式名,STRING,64
1,Case_Project,工程名,STRING,64
2,Case_MVABase,指定的系统基准容量,DOUBLE,4
3,Case_Control,所指定的控制语句文件,STRING,64
4,Case_Branch,所指定的支路数据,STRING,64
5,Case_Bus,所指定的母线数据,STRING,64
6,Case_Network,所指定的数据文件,STRING,64
7,Case_RXCheck,RX比值检查,INTEGER,2
8,Case_NewBase,潮流结果二进制文件(.BSE),STRING,64
9,Case_OldBase,指定老库文件,STRING,64
10,Case_Map,生成潮流图二进制结果文件,STRING,64
11,Case_AIControl,区域联络线功率控制选择,INTEGER,1
12,Case_LTC,带负荷调压变压器控制选择,INTEGER,1
13,Case_DecoupledNum,PQ解耦法,INTEGER,2
14,Case_CurrentNum,改进的牛顿拉夫逊算法,INTEGER,2
15,Case_NewtonNum,牛顿拉夫逊算法,INTEGER,2
16,Case_OptimNum,最优潮流法,INTEGER,2
17,Case_ToleranceBusV,"BusV允许误差,缺省值：0.005",DOUBLE,4
18,Case_ToleranceAIPower,"AIPower允许误差,缺省值：0.005",DOUBLE,4
19,Case_ToleranceTX,"TX允许误差,缺省值：0.005",DOUBLE,4
20,Case_ToleranceQ,"Q允许误差,缺省值：0.005",DOUBLE,4
21,Case_ToleranceOpcut,"OPCUT允许误差,缺省值：0.0001",DOUBLE,4
22,Case_RptSort,"输出分类,输出顺序控制语句",INTEGER,2
23,Case_AnalysisRpt,"分析报告输出,指定输出等级",INTEGER,2
24,IslandNum,电岛数,INTEGER,2
25,TotGenP,总发电有功,DOUBLE,4
26,TotGenQ,总发电无功,DOUBLE,4
27,TotLoadP,总负荷有功,DOUBLE,4
28,TotLoadQ,总负荷无功,DOUBLE,4
29,TotLineCap,线路充电无功,DOUBLE,4
30,TotLossP,总损耗有功,DOUBLE,4
31,TotLossQ,总损耗无功,DOUBLE,4
32,TotDCLoss,直流换流器损耗,DOUBLE,4
