序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,DCBus_Owner,所有者,STRING,4
2,DCBus_Name,Converter母线名称,STRING,10
3,DCBus_kV,Converter基准电压(kV),DOUBLE,4
4,DCBus_Zone,"Zone,分区名",STRING,4
5,DCBus_BRDGS,整流线路的桥数,INTEGER,2
6,DCBus_SMTHGREACTOR,平波电抗器电感(毫亨),DOUBLE,4
7,DCBus_ROPERMIN,作为整流器运行的最小触发角(度),DOUBLE,4
8,DCBus_IOPERSTOP,作为逆变器运行的最大触发角(度),DOUBLE,4
9,DCBus_DROP,每个桥阀的电压降(伏),DOUBLE,4
10,DCBus_BRDGRATE,桥电流额定值(安培),DOUBLE,4
11,DCBus_ACName,换流变压器一次侧母线名称,STRING,10
12,DCBus_ACkV,换流变压器一次侧基准电压(kV),DOUBLE,4
13,DCBus_V,直流母线电压(kV),DOUBLE,4
14,DCBus_D,直流母线功角(度),DOUBLE,4
15,DCBus_P,直流输电有功(MW),DOUBLE,4
16,DCBus_I,直流输电电流(A),DOUBLE,4
17,DCBus_LossP,直流输电有功损耗(MW),DOUBLE,4
18,DCBus_LossQ,直流输电无功损耗(MVar),DOUBLE,4
19,DCBus_ACV,交流侧母线电压(kV),DOUBLE,4
20,DCBus_Angle,触发/关断角(度),DOUBLE,4
21,ACBus,换流变压器一次侧母线索引,INTEGER,4
22,ACIsland,交流岛,INTEGER,2
23,Sub,母线所属BPA厂站,STRING,16
24,Alias,直流母线别名,STRING,64
25,Status,状态,INTEGER,1
