序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,DCLine_Owner,所有者,STRING,4
2,DCLine_BusR,整流侧母线名称,STRING,10
3,DCLine_kVR,整流侧基准电压(kV),DOUBLE,4
4,DCLine_Meter,区域联络线测点标志,INTEGER,1
5,DCLine_BusI,逆变侧母线名称,STRING,10
6,DCLine_kVI,逆变侧基准电压(kV),DOUBLE,4
7,DCLine_AMP,直流线路额定电流(安培),DOUBLE,4
8,DCLine_R,直流线路电阻(欧姆),DOUBLE,4
9,DCLine_L,直流线路电感(毫亨),DOUBLE,4
10,DCLine_C,直流线路电容(微阀),DOUBLE,4
11,DCLine_CONTROL,所安排的直流功率的控制点,INTEGER,1
12,DCLine_DCPOWER,所安排的直流功率(MW),DOUBLE,4
13,DCLine_RVOLT,给定直流线路整流侧的直流电压(kV),DOUBLE,4
14,DCLine_ROPER,整流侧的正常触发角(度),DOUBLE,4
15,DCLine_ISTOP,逆变侧的正常关断角(度),DOUBLE,4
16,DCLine_Miles,线路长度,DOUBLE,4
17,DCLine_Pr,线路整流侧功率(MW),DOUBLE,4
18,DCLine_Pi,线路逆变侧功率(MW),DOUBLE,4
19,DCLine_Lossp,线路有功损耗(MW),DOUBLE,4
20,KeyName,直流线路名称,STRING,32
21,iRBus,直流线路整流侧母线索引,INTEGER,4
22,iIBus,直流线路逆变侧母线索引,INTEGER,4
23,Alias,直流线路别名,STRING,64
24,Status,状态,INTEGER,1
