序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,LineHG_BusI,母线名称1,STRING,10
2,LineHG_kVI,基准电压1(kV),DOUBLE,4
3,LineHG_BusJ,母线名称2,STRING,10
4,LineHG_kVJ,基准电压2(kV),DOUBLE,4
5,LineHG_Loop,并联线路的回路标志,INTEGER,1
6,LineHG_ShuntI,"线路前侧高抗容量(Mvar,填正值)",DOUBLE,4
7,LineHG_ShuntJ,"线路后侧高抗容量(Mvar,填正值)",DOUBLE,4
8,KeyName,线路高抗名称,STRING,32
9,IniBusI,Ini母线名称1,STRING,10
10,InikVI,Ini基准电压1(kV),DOUBLE,4
11,IniBusJ,Ini母线名称2,STRING,10
12,InikVJ,Ini基准电压2(kV),DOUBLE,4
13,IniLoop,Ini并联线路的回路标志,INTEGER,1
14,iRBus,线路高抗I母线索引,INTEGER,4
15,zRBus,线路高抗Z母线索引,INTEGER,4
16,Alias,线路高抗别名,STRING,64
17,Status,状态,INTEGER,1
18,InRing,环网设备,INTEGER,1
19,Radiate,所在辐射网,INTEGER,2
