序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,R_Owner,所有者,STRING,4
2,R_BusI,母线名称1,STRING,10
3,R_kVI,基准电压1(kV),DOUBLE,4
4,R_VARTAP,可调抽头端标志,INTEGER,1
5,R_BusJ,母线名称2,STRING,10
6,R_kVJ,基准电压2(kV),DOUBLE,4
7,R_BusC,被控母线名称,STRING,10
8,R_kVC,被控基准电压(kV),DOUBLE,4
9,R_TMax,最大抽头位置(kV),DOUBLE,4
10,R_TMin,最小抽头位置(kV),DOUBLE,4
11,R_TNum,LTC抽头总数,INTEGER,2
12,R_ValMax,指定的最大无功功率(Mvar),DOUBLE,4
13,R_ValMin,指定的最小无功功率(Mvar),DOUBLE,4
14,R_P,有功(MW),DOUBLE,4
15,R_Q,无功(Mvar),DOUBLE,4
16,R_LossP,有功损耗(MW),DOUBLE,4
17,R_LossQ,无功损耗(Mvar),DOUBLE,4
18,KeyName,调压器名称,STRING,32
19,R_iRBus,变压器I母线索引,INTEGER,4
20,R_zRBus,变压器Z母线索引,INTEGER,4
21,R_Status,状态,INTEGER,1
