序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,RZ_Owner,所有者,STRING,4
2,RZ_BusI,母线名称1,STRING,10
3,RZ_kVI,基准电压1(kV),DOUBLE,4
4,RZ_BusJ,母线名称2,STRING,10
5,RZ_kVJ,基准电压2(kV),DOUBLE,4
6,RZ_Loop,并联线路的回路标志,INTEGER,1
7,RZ_Section,分段串连而成的线路的段号,INTEGER,1
8,RZ_Mode,控制方式,INTEGER,1
9,RZ_Pcmax,线路有功潮流最大值(MW),DOUBLE,4
10,RZ_Pcmin,线路有功潮流最小值(MW),DOUBLE,4
11,RZ_In,线路额定电流值(A),DOUBLE,4
12,RZ_Xijmax,线路电抗最大(pu),DOUBLE,4
13,RZ_Xijmin,线路电抗最小(pu),DOUBLE,4
14,KeyName,串补名称,STRING,64
15,iRBus,线路电抗I母线索引,INTEGER,4
16,zRBus,线路电抗Z母线索引,INTEGER,4
17,Status,状态,INTEGER,1
