序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,Wind_Owner,所有者,STRING,4
2,Wind_BusI,母线名称1,STRING,10
3,Wind_kVI,基准电压1(kV),DOUBLE,4
4,Wind_Meter,区域联络线测点标志,INTEGER,1
5,Wind_BusJ,母线名称2,STRING,10
6,Wind_kVJ,基准电压2(kV),DOUBLE,4
7,Wind_Loop,并联线路的回路标志,INTEGER,1
8,Wind_Section,分段串连而成的线路的段号,INTEGER,1
9,Wind_MVA,变压器额定容量(MVA),DOUBLE,4
10,Wind_LoopNum,并联变压器数目,INTEGER,1
11,Wind_R,由铜损引起的等效电阻(pu),DOUBLE,4
12,Wind_X,漏抗(pu),DOUBLE,4
13,Wind_G,由铁损引起的等效电导(pu),DOUBLE,4
14,Wind_B,激磁导纳(pu),DOUBLE,4
15,Wind_TPI,母线1的固定分接头/移相器的固定移相角(度),DOUBLE,4
16,Wind_TPJ,母线2的固定分接头,DOUBLE,4
17,Wind_Pi,变压器BUS1侧有功(MW),DOUBLE,4
18,Wind_Qi,变压器BUS1侧无功(MVar),DOUBLE,4
19,Wind_Pz,变压器BUS2侧有功(MW),DOUBLE,4
20,Wind_Qz,变压器BUS2侧无功(MVar),DOUBLE,4
21,Wind_LossP,变压器有功损耗(MW),DOUBLE,4
22,Wind_LossQ,变压器无功损耗(MVar),DOUBLE,4
23,Wind_SccAI,变压器BUS1侧故障电流(A),DOUBLE,4
24,Wind_SccAZ,变压器BUS1侧故障电流(A),DOUBLE,4
25,vd_Rerr,变压器故障率(次/年),DOUBLE,8
26,vd_RScc1,单相接地频率(次/年),DOUBLE,4
27,vd_RScc2,相间短路频率(次/年),DOUBLE,4
28,vd_RScc3,三相短路频率(次/年),DOUBLE,4
29,vd_RScc4,两相接地频率(次/年),DOUBLE,4
30,KeyName,变压器名称,STRING,32
31,IniBusI,Ini母线名称1,STRING,10
32,InikVI,Ini基准电压1(kV),DOUBLE,4
33,IniBusJ,Ini母线名称2,STRING,10
34,InikVJ,Ini基准电压2(kV),DOUBLE,4
35,IniLoop,Ini并联线路的回路标志,INTEGER,1
36,BusIPtr,变压器I母线索引,INTEGER,4
37,BusJPtr,变压器J母线索引,INTEGER,4
38,RCard,"受控变压器(直流母线侧R=1-I,R=2-J)",INTEGER,1
39,Alias,变压器别名,STRING,64
40,RtTPI,RT母线1的固定分接头,DOUBLE,4
41,RtTPJ,RT母线2的固定分接头,DOUBLE,4
42,Status,状态,INTEGER,1
43,TranPtr,变压器索引,INTEGER,4
44,InRing,环网设备,INTEGER,1
45,Radiate,所在辐射网,INTEGER,2
