序号,名称,描述,类型,长度
0,Zone_Name,分区名称,STRING,4
1,Zone_Area,区域名称,STRING,16
2,CardKey,卡类型,STRING,8
3,LOZ_KG0,线路零序电导相对于正序电导的倍数,DOUBLE,4
4,LOZ_KB0,线路零序电纳相对于正序电纳的倍数,DOUBLE,4
5,LOZ_KGC0,线路对地支路零序电导相对于对地支路正序电导的倍数,DOUBLE,4
6,LOZ_KBC0,线路对地支路零序电纳相对于对地支路正序电纳的倍数,DOUBLE,4
7,LOZ_VMIN,电压等级限制最小值,DOUBLE,4
8,LOZ_VMAX,电压等级限制最大值,DOUBLE,4
9,MJ_TJ,马达的惯性时间常数(秒),DOUBLE,4
10,MJ_Pper,马达功率占母线有功负荷的比例,DOUBLE,4
11,MJ_KL,马达的负载率,DOUBLE,4
12,MJ_Pmin,马达的功率因数,DOUBLE,4
13,MJ_RS,定子电阻(pu),DOUBLE,4
14,MJ_XS,定子电抗(pu),DOUBLE,4
15,MJ_XM,激磁电抗(pu),DOUBLE,4
16,MJ_RR,转子电阻(pu),DOUBLE,4
17,MJ_XR,转子电抗(pu),DOUBLE,4
18,MJ_VI,马达低压释放的电压值,DOUBLE,4
19,MJ_TI,马达低压释放时延(秒),DOUBLE,4
20,MJ_A,转矩方程常数,DOUBLE,4
21,MJ_B,转矩方程常数,DOUBLE,4
22,MJ_IM,马达滑差达到1时的处理方式,INTEGER,1
