序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,DCBus_Name,直流母线名称,STRING,10
2,DCBus_KV,直流母线基准电压(kV),DOUBLE,4
3,Tc,电流测量环节时间常数（秒）,DOUBLE,4
4,Tv,电压测量环节时间常数（秒）,DOUBLE,4
5,T1,电流调节器时间常数1（秒）,DOUBLE,4
6,T2,电流调节器时间常数2（秒）,DOUBLE,4
7,T3,电流调节器时间常数3（秒）,DOUBLE,4
8,Ka,电流调节器增益,DOUBLE,4
9,MOD,"控制方式,P＝定功率控制,I＝定电流控制",INTEGER,1
10,IMAX,阀的过电流能力(pu),DOUBLE,4
11,IMARGIN,"电流余裕值(pu),逆变侧必须在0.05-0.3之间",DOUBLE,4
12,ALPHASTOP,作逆变器使用时的最小点燃角（度）,DOUBLE,4
13,TD,"换相电压时间常数（秒）,缺省0.01秒",DOUBLE,4
14,VLIM,"电流限制起始处的额定端电压(pu),缺省0.25pu",DOUBLE,4
15,DISA,非空则消去该直流控制系统,INTEGER,1
16,MSU,余裕开关单元关键码,INTEGER,1
17,KeyName,数据库主键,STRING,16
18,BusPtr,直流母线索引,INTEGER,4
