序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,DCBus_Name,直流母线名称,STRING,10
2,DCBus_KV,直流母线基准电压(kV),DOUBLE,4
3,DA_G_Amax,最大触发角控制增益,DOUBLE,4
4,DA_T_Amax,最大触发角控制时间常数(秒),DOUBLE,4
5,DA_GammaRef,熄弧角参考值,DOUBLE,4
6,DA_GammaMin,熄弧角最小值,DOUBLE,4
7,DA_Kp_vca,定电压控制比例增益,DOUBLE,4
8,DA_Ti_vca,定电压控制积分时间常数(秒),DOUBLE,4
9,DA_K1_ra,整流侧最小触发角控制增益1,DOUBLE,4
10,DA_K2_ra,整流侧最小触发角控制增益2,DOUBLE,4
11,DA_Cdl,整流侧最小触发角控制电压阈值1,DOUBLE,4
12,DA_D1,整流侧最小触发角控制电压阈值2,DOUBLE,4
13,DA_Decr,整流侧最小触发角控制角度下降速率,DOUBLE,4
14,DA_T_ga,逆变侧Gamma0启动延时时间(秒),DOUBLE,4
15,DA_Td_ret,直流重启动控制移相延时时间(秒),DOUBLE,4
16,DA_Th_ret,直流重启动控制移相持续时间(秒),DOUBLE,4
17,DA_Th_res,直流重启动控制重启指令延时时间(秒),DOUBLE,4
18,DA_DISA,非空则消去该直流控制系统,INTEGER,1
19,DA_DBG,"调试文件标志,非空则输出调试文件",INTEGER,1
20,DA_MOD,"控制方式,1=恒定功率,0=恒定电流",STRING,8
21,DA_LEAD,"主控站,1=主控站,0=受控站",STRING,8
22,DA_OPN,"运行标志,1=运行状态,0=停运状态",STRING,8
23,DA_BC_ON,"协调控制标志,1=双极协调,0=独立运行",STRING,8
24,DA_Udlow,VDCOL启动电压,DOUBLE,4
25,DA_Udhigh,VDCOL退出电压,DOUBLE,4
26,DA_Udtup,VDCOL电压上升滤波时间常数,DOUBLE,4
27,DA_Udtdn,VDCOL电压下降滤波时间常数,DOUBLE,4
28,DA_Iomin_vdcl,VDCOL最小插值电流指令,DOUBLE,4
29,DA_Iomin,VDCOL最小电流指令,DOUBLE,4
30,DA_Id_t,定电流控制电流滤波时间常数(秒),DOUBLE,4
31,DA_Gain,定电流控制总增益,DOUBLE,4
32,DA_Kp,定电流控制比例增益,DOUBLE,4
33,DA_Ti,定电流控制积分时间常数(秒),DOUBLE,4
34,DA_G_cf,换相失败预测增益,DOUBLE,4
35,DA_K_cf,换相失败预测启动电压阈值,DOUBLE,4
36,DA_T_dn_cf,换相失败预测输出角度下降时间常数(秒),DOUBLE,4
37,DA_A,DA卡续卡标志,INTEGER,1
38,KeyName,数据库主键,STRING,16
39,BusPtr,直流母线索引,INTEGER,4
