序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,DCBus_Name,直流母线名称,STRING,10
2,DCBus_KV,直流母线基准电压(kV),DOUBLE,4
3,DN_MOD,"MOD,P=恒功率控制,I=恒电流控制",INTEGER,1
4,DN_Tvp,整流侧功率定值环节中直流电压测量环节时间常数(秒),DOUBLE,4
5,DN_IMAX,"系统的暂时过电流能力(标么值,整流侧填写)",DOUBLE,4
6,DN_IMIN,"系统的最小电流(标么值,整流侧填写)",DOUBLE,4
7,DN_P_I,定电流调节器的比例增益,DOUBLE,4
8,DN_T_I,定电流调节器的积分时间常数(秒),DOUBLE,4
9,DN_P_U,定电压调节器的比例增益,DOUBLE,4
10,DN_T_U,定电压调节器的积分时间常数(秒),DOUBLE,4
11,DN_P_Gam,逆变侧定γ调节器的比例增益(逆变侧填写),DOUBLE,4
12,DN_T_Gam,"逆变侧定γ调节器的积分时间常数(秒,逆变侧填写)",DOUBLE,4
13,DN_VacLow,限幅回路中交流电压门槛值(标么值),DOUBLE,4
14,DN_TVacLow,限幅回路中交流电压的延迟时间(秒),DOUBLE,4
15,DN_IdLow,限幅回路中直流电流门槛值(标么值),DOUBLE,4
16,DN_TIdLow,限幅回路中直流电流的延迟时间(秒),DOUBLE,4
17,DN_Tlim,限幅回路中时间常数(秒),DOUBLE,4
18,DN_Tp,比例增益计算回路中时间常数(秒),DOUBLE,4
19,DN_Iovl,"直流系统短期过电流能力(标么值,整流侧填写)",DOUBLE,4
20,DN_Timax,"直流系统暂时过电流的容许时间(秒,整流侧填写)",DOUBLE,4
21,DN_Tmaxlim,"超过暂时过电流的容许时间后,电流定值由Imax下降到Iovl的时间(秒,整流侧填写)",DOUBLE,4
22,DN_DISA,"如果非空且非字符'F',则消去该直流控制系统(作为分区负荷)",INTEGER,1
23,DN_TVDCOL,"VDCOL环节电压测量环节时间常数(秒,逆变侧填写)",DOUBLE,4
24,DN_X1,"VDCOL的x1(标么值,逆变侧填写)",DOUBLE,4
25,DN_Y1,"VDCOL的y1(标么值,逆变侧填写)",DOUBLE,4
26,DN_X2,"VDCOL的x2(标么值,逆变侧填写)",DOUBLE,4
27,DN_Y2,"VDCOL的y2(标么值,逆变侧填写)",DOUBLE,4
28,DN_K1,"VDCOL的斜率1(标么值,逆变侧填写)",DOUBLE,4
29,DN_K2,"VDCOL的斜率2(标么值,逆变侧填写)",DOUBLE,4
30,DN_DownSL,"VDCOL输出值的下降速率限制(pu/sec.,逆变侧填写)",DOUBLE,4
31,DN_UpSL,"VDCOL输出值的上升速率限制(值大于零,pu/sec.,逆变侧填写)",DOUBLE,4
32,DN_AlphaStop,作逆变器使用时的最小点燃角(度),DOUBLE,4
33,DN_GamaaMin,逆变器换相失败的门槛值(度),DOUBLE,4
34,DN_TvpSmall,"整流侧功率定值环节中直流电压测量环节的小时间常数(秒,整流侧填写)",DOUBLE,4
35,KeyName,数据库主键,STRING,16
36,BusPtr,直流母线索引,INTEGER,4
