序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,"母线名称,母线名",STRING,10
2,ACBus_kV,"基准电压(kV),基准电压",DOUBLE,4
3,Gen_ID,发电机识别码,INTEGER,1
4,Exc68_TR,"TR,调压器输入的滤波器时间常数",DOUBLE,4
5,Exc68_KA_BusKV,"KA,调压器增益",DOUBLE,4
6,Exc68_TR_TRH,"TA,调压器放大器时间常数",DOUBLE,4
7,Exc68_TA1,"TA1,调压器放大器时间常数",DOUBLE,4
8,Exc68_VRMinMult_TRMax,"VRMAXMULT,VRMAX乘子",DOUBLE,4
9,Exc68_KE,"KE,与自励有关的励磁常数",DOUBLE,4
10,Exc68_TE,"TE,励磁机时间常数",DOUBLE,4
11,Exc68_SE75Max_KI,"SE.75MAX,75％最大励磁电压时的励磁机饱和系数",DOUBLE,4
12,Exc68_SEMax_KP,"SEMAX,最大励磁电压时的励磁机饱和系数",DOUBLE,4
13,Exc68_EFDMin,"EFDMIN,最小励磁电压",DOUBLE,4
14,Exc68_EFDMax_VBMax,"EFDMAX,最大励磁电压",DOUBLE,4
15,Exc68_KF,"KF,调压器稳定回路增益",DOUBLE,4
16,Exc68_TF,"TF,调压器稳定回路时间常数",DOUBLE,4
17,Exc68_XL,"XL,整流电抗",DOUBLE,4
18,Exc68_TF1,"TF1,调压器稳定回路时间常数",DOUBLE,4
19,KeyName,数据库主键,STRING,16
20,BusPtr,发电机母线索引,INTEGER,4
21,AppendTag,新增记录标记,INTEGER,1
