序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,母线名,STRING,10
2,ACBus_kV,基准电压,DOUBLE,4
3,Gen_ID,发电机识别码,INTEGER,1
4,Exc81_RC,负载补偿之有功关分量(pu),DOUBLE,4
5,Exc81_XC,负载补偿之有功关分量(pu),DOUBLE,4
6,Exc81_TR,调节器输入滤波器时间常数(秒),DOUBLE,4
7,Exc81_VIAMax_VAMax,电压调节器滞后时间常数(秒),DOUBLE,4
8,Exc81_VIMin_VAMin,电压调节器超前时间常数(秒),DOUBLE,4
9,Exc81_TB,电压调节器增益(pu),DOUBLE,4
10,Exc81_TC,电压调节器滞后时间常数(秒),DOUBLE,4
11,Exc81_KA_BusKV,电压调节器最大输出(pu),DOUBLE,4
12,Exc81_TA_TRH,电压调节器最小输出(pu),DOUBLE,4
13,Exc81_VRMax_VAMax,励磁机自励磁时间常数(pu),DOUBLE,4
14,Exc81_VRMin_VAMin,励磁机时间常数(秒),DOUBLE,4
15,Exc81_EFDMax_VBMax,调压器稳定回路增益(pu),DOUBLE,4
16,Exc81_KE_KJ,第一级调节器增益(pu),DOUBLE,4
17,Exc81_TE,励磁机时间常数(秒),DOUBLE,4
18,KeyName,数据库主键,STRING,16
19,BusPtr,发电机母线索引,INTEGER,4
20,AppendTag,新增记录标记,INTEGER,1
