序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,母线名,STRING,10
2,ACBus_kV,基准电压,DOUBLE,4
3,Gen_ID,发电机识别码,INTEGER,1
4,ExcMV_RC,负载补偿之有功关分量(pu),DOUBLE,4
5,ExcMV_XC,负载补偿之有功关分量(pu),DOUBLE,4
6,ExcMV_TR,调节器输入滤波器时间常数(秒),DOUBLE,4
7,ExcMV_K,调节器增益(pu),DOUBLE,4
8,ExcMV_kV,比例积分或纯积分调节选择因子,DOUBLE,4
9,ExcMV_T1,电压调节器时间常数(秒),DOUBLE,4
10,ExcMV_T2,电压调节器时间常数(秒),DOUBLE,4
11,ExcMV_T3,电压调节器时间常数(秒),DOUBLE,4
12,ExcMV_T4,电压调节器时间常数(秒),DOUBLE,4
13,ExcMV_KA,调压器增益(pu),DOUBLE,4
14,ExcMV_TA,调压器放大器的时间常数(秒),DOUBLE,4
15,ExcMV_KF,调压器稳定回路增益(pu),DOUBLE,4
16,ExcMV_TF,调压器稳定回路时间常数(秒),DOUBLE,4
17,ExcMV_KH,励磁机电流反馈增益(pu),DOUBLE,4
18,KeyName,数据库主键,STRING,16
19,BusPtr,发电机母线索引,INTEGER,4
20,AppendTag,新增记录标记,INTEGER,1
