序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,母线名,STRING,10
2,ACBus_kV,基准电压,DOUBLE,4
3,Gen_ID,发电机识别码,INTEGER,1
4,ExcX_RC,负载补偿之有功关分量(pu),DOUBLE,4
5,ExcX_XC,负载补偿之有功关分量(pu),DOUBLE,4
6,ExcX_TR,调节器输入滤波器时间常数(秒),DOUBLE,4
7,ExcX_KA,调节器增益(pu),DOUBLE,4
8,ExcX_TA,调节器时间常数(秒),DOUBLE,4
9,ExcX_Kp,比例增益(pu),DOUBLE,4
10,ExcX_KI,积分系数(pu),DOUBLE,4
11,ExcX_VRMax,电压调节器最大输出(pu),DOUBLE,4
12,ExcX_VRMin,电压调节器最小输出(pu),DOUBLE,4
13,ExcX_IKp,电流环比例增益(pu),DOUBLE,4
14,ExcX_IKI,电流环积分系数(pu),DOUBLE,4
15,ExcX_VFMax,电流环的最大限幅(pu),DOUBLE,4
16,ExcX_VFMin,电流环的最小限幅(pu),DOUBLE,4
17,ExcX_KT,可控硅整流器增益(pu),DOUBLE,4
18,ExcX_TT,可控硅整流器时间常数(秒),DOUBLE,4
19,ExcEX_Kifd,励磁电流反馈环节放大倍数,DOUBLE,4
20,ExcEX_Tifd,励磁电流反馈环节时间常数,DOUBLE,4
21,ExcEX_EFDMin,最小励磁电压(pu),DOUBLE,4
22,ExcEX_EFDMax,最大励磁电压(pu),DOUBLE,4
23,KeyName,数据库主键,STRING,16
24,BusPtr,发电机母线索引,INTEGER,4
25,AppendTag,新增记录标记,INTEGER,1
