序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,IG,稳定曲线显示选择,INTEGER,1
2,IA,发电机最大相对角显示选择,INTEGER,1
3,GenBusName1,发电机1母线名称,STRING,16
4,GenBusBase1,发电机1母线电压,DOUBLE,4
5,GenID1,发电机1识别码,INTEGER,1
6,GenBusName2,发电机2母线名称,STRING,16
7,GenBusBase2,发电机2母线电压,DOUBLE,4
8,GenID2,发电机2识别码,INTEGER,1
9,AMAX,相对角Y轴坐标的最大值,DOUBLE,4
10,AMIN,相对角Y轴坐标的最小值,DOUBLE,4
11,IV,母线电压显示选择,INTEGER,1
12,VBUSNAME,显示电压变化曲线的母线名称,STRING,16
13,VBUSVOLT,显示电压变化曲线的母线电压,DOUBLE,4
14,IF,母线频率显示选择,INTEGER,1
15,FBUSNAME,显示频率变化曲线的母线名称,STRING,16
16,FBUSVOLT,显示频率变化曲线的母线电压,DOUBLE,4
