序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,TBUSF,母线频率滤波器缺省时间常数,DOUBLE,4
2,TZERO,测量回路缺省时间常数,DOUBLE,4
3,IBLOD,母线负荷开关,INTEGER,1
4,DMPALL,缺省发电机阻尼因子,DOUBLE,4
5,IAMRTS,"如果该值不为0,且F1卡中的XFACT也不为0,无论发电机的次暂态参数是否已经用M卡指定,都要采用缺省的参数来计算发电机的次暂态参数",INTEGER,1
6,VCHGL,"如果负荷母线电压低于该值,则负荷将转换为恒阻抗负荷,缺省值为0.5pu",DOUBLE,4
7,SPTOSG,"SP卡为以加速功率作为输入信号的PSS,而SG卡为以电磁功率为输入信号的PSS;如果该值不为0,则将稳定数据中所有的SP卡改为SG卡",INTEGER,1
8,GSIQU,"如果该值不为零,则数据文件中所有GH卡和GS卡的死区的大小都为该值",DOUBLE,4
9,TITSKP,"从本时间开始,按照本卡中的48-49列填写的步数进行存储",DOUBLE,4
10,ITSKP1,从本卡43-47列规定的时间TITSKP开始每隔ITSKP1步存储一次数据,INTEGER,2
11,VRLIM,"FM、FO、FP、FQ、FR、FS、FT和FG型励磁模型的调压器限幅环节为外限幅,如果VRLIM不为0,则将其改为内限幅",INTEGER,1
