序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,母线名,STRING,10
2,ACBus_kV,基准电压,DOUBLE,4
3,Gen_ID,发电机识别码,INTEGER,1
4,FCB_IPID,IPID,INTEGER,1
5,FCB_KP,并联PID环节的比例环节系数,DOUBLE,4
6,FCB_KI,并联PID环节的积分环节系数,DOUBLE,4
7,FCB_KD,并联PID环节的微分环节系数,DOUBLE,4
8,FCB_TD,并联PID环节的微分环节时间常数(秒),DOUBLE,4
9,FCB_INTMAX,并联PID环节的积分环节限幅最大值,DOUBLE,4
10,FCB_INTMIN,并联PID环节的积分环节限幅最小值,DOUBLE,4
11,FCB_DEVMAX,并联PID环节的微分环节限幅最大值,DOUBLE,4
12,FCB_DEVMIN,并联PID环节的微分环节限幅最小值,DOUBLE,4
13,FCB_VAlMax,串联PID环节的限幅最大值,DOUBLE,4
14,FCB_VAlMin,串联PID环节的限幅最小值,DOUBLE,4
15,FCB_IFUFV,FU、FV励磁模型是否含有可控硅整流器输出的修订,INTEGER,1
16,KeyName,数据库主键,STRING,16
17,BusPtr,发电机母线索引,INTEGER,4
18,AppendTag,新增记录标记,INTEGER,1
