序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,T,计算开始时间(周),DOUBLE,4
2,DT,计算步长(周),DOUBLE,4
3,ENDT,计算终止时间(周),DOUBLE,4
4,DTC,新的步长(周),DOUBLE,4
5,ISTP,开始改变步长的时刻(周),INTEGER,2
6,TOLI,两次迭代间最大加速功率误差范围,DOUBLE,4
7,ILIM,一步内网络方程与微分方程最大交替迭代次数,INTEGER,2
8,DELANG,两次迭代间最大角度误差范围,DOUBLE,4
9,DTDV,交流积分步长与直流积分步长之比,DOUBLE,4
10,DMPMLT,发电机阻尼因子,DOUBLE,4
11,FRQBSE,系统基准频率,DOUBLE,4
12,LOVTEX,"=1无低电压检查,否则进行检查",INTEGER,1
13,IMBLOK,马达滑差达到1时的处理方法,INTEGER,1
14,MFDEP,摇摆方程与定子方程与频率的关系,INTEGER,1
15,IGSLIM,"非零时,所有调速器模型GS都采用外限幅",INTEGER,1
16,LSOLQIT,"=1：迭代不收敛,停止计算",INTEGER,1
17,NOANGLIM,"=1：无最大角度限制,否则机组间角度超过500度停算",INTEGER,1
18,INFBUS,=1：所有发电机改为无穷大惯性电机,INTEGER,1
19,NOPP,"非零时,所有发电机都不考虑次暂态参数",INTEGER,1
20,NODQ,=1：所有发电机改为经典模型,INTEGER,1
21,NOSAT,"非零时,所有的发电机不考虑饱和",INTEGER,1
22,NOGV,=1：所有发电机不计调速器,INTEGER,1
23,IEQPC,"非零时,所有发电机的磁链恒定",INTEGER,1
24,NOEX,=1：所有发电机不计调压器,INTEGER,1
25,MFTOMG,"非零时,所有的发电机卡MF卡都转换为MG卡",INTEGER,1
26,NOSC,=1：不计所有辅助信号,INTEGER,1
27,MGTOMF,"非零时,所有的发电机卡MG卡都转换为MF卡",INTEGER,1
28,NOLOAD,=1：所有负荷为恒定阻抗,INTEGER,1
