序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,发电机名称,STRING,10
2,ACBus_KV,发电机基准电压(kV),DOUBLE,4
3,Gen_ID,发电机识别码ID,INTEGER,1
4,FGV_AMP1,"第一个波动的幅值,百分数或有名值",DOUBLE,4
5,FGV_FREQ1,第一个波动的频率(弧度/秒),DOUBLE,4
6,FGV_ANGL01,第一个波动的初始相位(弧度),DOUBLE,4
7,FGV_TBEGIN1,第一个波动的起始时间(周),DOUBLE,4
8,FGV_TEND1,第一个波动的结束时间(周),DOUBLE,4
9,FGV_AMP2,"第二个波动的幅值,百分数或有名值",DOUBLE,4
10,FGV_FREQ2,第二个波动的频率(弧度/秒),DOUBLE,4
11,FGV_ANGL02,第二个波动的初始相位(弧度),DOUBLE,4
12,FGV_TBEGIN2,第二个波动的起始时间(周),DOUBLE,4
13,FGV_TEND2,第二个波动的结束时间(周),DOUBLE,4
14,FGV_CMW,"空格表示前两个波动的幅值都是发电机机械功率初值的百分数;W,为有名值",INTEGER,1
15,KeyName,数据库主键,STRING,16
16,BusPtr,发电机母线索引,INTEGER,4
