序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,母线名,STRING,10
2,ACBus_kV,基准电压,DOUBLE,4
3,Gen_ID,发电机识别码,INTEGER,1
4,FZ_SE1_KI,励磁电压处的励磁机饱和系数/电流回路增益系数(D、L),DOUBLE,4
5,FZ_SE2_KP,励磁电压75％处的励磁机饱和系数/电势回路增益系数(D、L),DOUBLE,4
6,FZ_EFDMin_EFDN_DP,励磁机最小输出电压(J)/稳定反馈增益改变处的励磁电压/电压回路像角差(L),DOUBLE,4
7,FZ_EFD1_VE1_EFDMax,励磁电压(A、B、E)/换向电抗后励磁电压(C、F、H)/最大励磁电压(D、L),DOUBLE,4
8,FZ_KF_KG,励磁控制系统稳定器增益/内反馈回路常数(L),DOUBLE,4
9,FZ_TF_VGMax,励磁控制系统时间常数/内反馈回路最大电压(L),DOUBLE,4
10,FZ_KC,换相电抗的整流器负载因子,DOUBLE,4
11,FZ_KD_XL,去磁因子(C、F、H)/电势源电抗(L),DOUBLE,4
12,FZ_KB_VLV,第二极调节器增益(F)/励磁机低电压限制(H),DOUBLE,4
13,FZ_KL_KLV,励磁机励磁电流限制增益(F)/励磁机低电压限制信号增益(H),DOUBLE,4
14,FZ_KH_KN,励磁机励磁电流反馈增益(F)/励磁控制系统稳定器增益(上段)(H),DOUBLE,4
15,FZ_VLR_KR,励磁机励磁电流限制(F)/联接调节器和变换器励磁功率的常数(H),DOUBLE,4
16,KeyName,数据库主键,STRING,16
17,BusPtr,发电机母线索引,INTEGER,4
18,AppendTag,新增记录标记,INTEGER,1
