序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,发电机名称,STRING,10
2,ACBus_kV,发电机基准电压(kV),DOUBLE,4
3,Gen_ID,发电机识别码,INTEGER,1
4,GA_Pe,原动机额定输出功率(MW),DOUBLE,4
5,GA_Tc,油动机关闭时间常数,DOUBLE,4
6,GA_To,油动机开启时间常数,DOUBLE,4
7,GA_VELclose,过速关闭系数(pu),DOUBLE,4
8,GA_VELopen,过速开启系数(pu),DOUBLE,4
9,Gen_Pmax,最大原动机输出功率(pu),DOUBLE,4
10,Gen_Pmin,最小原动机输出功率(pu),DOUBLE,4
11,GA_T1,油动机行程反馈环节(LVDT)时间,DOUBLE,4
12,GA_KP,比例放大倍数,DOUBLE,4
13,GA_KD,微分倍数,DOUBLE,4
14,GA_KI,积分倍数,DOUBLE,4
15,GA_INTG_MAX,积分上限,DOUBLE,4
16,GA_INTG_MIN,积分下限,DOUBLE,4
17,GA_PID_MAX,输出上限,DOUBLE,4
18,GA_PID_MIN,输出下限,DOUBLE,4
19,GA_PGV_DELAY,功率输出信号的纯时迟(秒),DOUBLE,4
20,KeyName,数据库主键,STRING,16
21,BusPtr,发电机母线索引,INTEGER,4
22,AppendTag,新增记录标记,INTEGER,1
