序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,发电机名称,STRING,10
2,ACBus_kV,发电机基准电压(kV),DOUBLE,4
3,Gen_ID,发电机识别码,INTEGER,1
4,GD_Pmax,最大输出机械功率,DOUBLE,4
5,GD_Pmin,最小输出机械功率,DOUBLE,4
6,GD_DB,Δω的死区(Hz),DOUBLE,4
7,GD_R,稳态偏差(pu),DOUBLE,4
8,GD_Kp,比例环节增益(pu/pu),DOUBLE,4
9,GD_Ki,积分环节增益(pu/sec),DOUBLE,4
10,GD_Kd,微分环节增益(pu·sec),DOUBLE,4
11,GD_GOV_MAX,积分环节上限(pu),DOUBLE,4
12,GD_GOV_Min,积分环节下限(pu),DOUBLE,4
13,GD_DEMAND_MAX,输出上限(pu),DOUBLE,4
14,GD_DEMAND_MIN,输出下限(pu),DOUBLE,4
15,KeyName,数据库主键,STRING,16
16,BusPtr,发电机母线索引,INTEGER,4
17,AppendTag,新增记录标记,INTEGER,1
