序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,发电机名称,STRING,10
2,ACBus_kV,发电机基准电压(kV),DOUBLE,4
3,Gen_ID,发电机识别码,INTEGER,1
4,Gen_Pmax,原动机最大输出功率(MW),DOUBLE,4
5,GH_R,调差系数,DOUBLE,4
6,GH_TG,调速器响应时间,DOUBLE,4
7,GH_TP,引导阀门时间常数,DOUBLE,4
8,GH_Td,软反馈时间常数,DOUBLE,4
9,GH_Tw_Half,水锤效应时间常数,DOUBLE,4
10,GH_VELclose,"最大水门关闭速度,每秒标么",DOUBLE,4
11,GH_VELopen,"最大水门开启速度,每秒标么",DOUBLE,4
12,GH_Dd,软反馈环节系数,DOUBLE,4
13,GH_E,"死区,为相对于系统频率的标么值",DOUBLE,4
14,KeyName,数据库主键,STRING,16
15,BusPtr,发电机母线索引,INTEGER,4
16,AppendTag,新增记录标记,INTEGER,1
