序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,发电机名称,STRING,10
2,ACBus_kV,发电机基准电压(kV),DOUBLE,4
3,Gen_ID,发电机识别码,INTEGER,1
4,GI_T1,转速变换环节时间常数(秒),DOUBLE,4
5,GI_E,死区ε(相对系统频率的标么值),DOUBLE,4
6,GI_K,转速偏差放大倍数,DOUBLE,4
7,GI_I1,负荷自动开关,INTEGER,1
8,GI_KP1,负荷控制器PID比例环节倍数,DOUBLE,4
9,GI_KD1,负荷控制器PID微分环节倍数,DOUBLE,4
10,GI_KI1,负荷控制器PID积分环节倍数,DOUBLE,4
11,GI_INTG_MAX1,负荷控制器PID积分环节限幅上限,DOUBLE,4
12,GI_INTG_MIN1,负荷控制器PID积分环节限幅下限,DOUBLE,4
13,GI_PID_MAX1,负荷控制器PID输出限幅环节的上限,DOUBLE,4
14,GI_PID_MIN1,负荷控制器PID输出限幅环节的下限,DOUBLE,4
15,GI_I_Feed,负荷前馈开关位置,INTEGER,1
16,GI_W_MAX,一次调频负荷,DOUBLE,4
17,GI_W_MIN,一次调频负荷,DOUBLE,4
18,GI_I2,调节级压力自动开关,INTEGER,1
19,GI_KP2,调节级压力控制器PID比例环节倍数,DOUBLE,4
20,GI_KD2,调节级压力控制器PID微分环节倍数,DOUBLE,4
21,GI_KI2,调节级压力控制器PID积分环节倍数,DOUBLE,4
22,GI_INTG_MAX2,调节级压力控制器PID积分环节限幅上限,DOUBLE,4
23,GI_INTG_MIN2,调节级压力控制器PID积分环节限幅下限,DOUBLE,4
24,GI_PID_MAX2,调节级压力控制器PID输出限幅环节的上限,DOUBLE,4
25,GI_PID_MIN2,调节级压力控制器PID输出限幅环节的下限,DOUBLE,4
26,GI_CON_MAX,整个控制环节输出限幅环节的上限,DOUBLE,4
27,GI_CON_MIN,整个控制环节输出限幅环节的下限,DOUBLE,4
28,KeyName,数据库主键,STRING,16
29,BusPtr,发电机母线索引,INTEGER,4
30,AppendTag,新增记录标记,INTEGER,1
