序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,发电机名称,STRING,10
2,ACBus_kV,发电机基准电压(kV),DOUBLE,4
3,Gen_ID,发电机识别码,INTEGER,1
4,GJ_T1,转速测量环节时间常数(秒),DOUBLE,4
5,GJ_E,转速偏差死区,DOUBLE,4
6,GJ_K1,转速偏差放大倍数,DOUBLE,4
7,GJ_I,控制方式选择,INTEGER,1
8,GJ_KP,PID比例环节倍数,DOUBLE,4
9,GJ_KD,PID微分环节倍数,DOUBLE,4
10,GJ_KI,PID积分环节倍数,DOUBLE,4
11,GJ_INTG_MAX,PID积分环节限幅上限,DOUBLE,4
12,GJ_INTG_MIN,PID积分环节限幅下限,DOUBLE,4
13,GJ_PID_MAX,PID输出限幅环节的上限,DOUBLE,4
14,GJ_PID_MIN,PID输出限幅环节的下限,DOUBLE,4
15,GJ_K2,负荷控制前馈系数,DOUBLE,4
16,GJ_W_MAX,一次调频负荷上限,DOUBLE,4
17,GJ_W_MIN,一次调频负荷下限,DOUBLE,4
18,GJ_TW_DELAY,频率输入信号的纯时迟(秒),DOUBLE,4
19,GJ_TP_DELAY,功率反馈信号的纯时迟(秒),DOUBLE,4
20,GJ_TR,功率反馈信号对应的一阶惯性环节时间常数(秒),DOUBLE,4
21,KeyName,数据库主键,STRING,16
22,BusPtr,发电机母线索引,INTEGER,4
23,AppendTag,新增记录标记,INTEGER,1
