序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,发电机名称,STRING,10
2,ACBus_kV,发电机基准电压(kV),DOUBLE,4
3,Gen_ID,发电机识别码,INTEGER,1
4,GK_TW,转速偏差滤波器的时间常数(秒),DOUBLE,4
5,GK_E,转速偏差死区,DOUBLE,4
6,GK_I,转速采用滤波器或死区方式选择,INTEGER,1
7,GK_K1,转速偏差放大倍数,DOUBLE,4
8,GK_K2,主汽压力偏差放大倍数,DOUBLE,4
9,GK_I_Control,控制方式选择,INTEGER,1
10,GK_KP,PID比例环节倍数,DOUBLE,4
11,GK_KD,PID微分环节倍数,DOUBLE,4
12,GK_KI,PID积分环节倍数,DOUBLE,4
13,GK_INTG_MAX,PID积分环节限幅上限,DOUBLE,4
14,GK_INTG_MIN,PID积分环节限幅下限,DOUBLE,4
15,GK_PID_MAX,PID输出限幅环节的上限,DOUBLE,4
16,GK_PID_MIN,PID输出限幅环节的下限,DOUBLE,4
17,GK_W_MAX,一次调频负荷上限,DOUBLE,4
18,GK_W_MIN,一次调频负荷下限,DOUBLE,4
19,KeyName,数据库主键,STRING,16
20,BusPtr,发电机母线索引,INTEGER,4
21,AppendTag,新增记录标记,INTEGER,1
