序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,发电机名称,STRING,10
2,ACBus_kV,发电机基准电压(kV),DOUBLE,4
3,Gen_ID,发电机识别码,INTEGER,1
4,GL_Pe,原动机额定输出功率(MW),DOUBLE,4
5,GL_K,转速放大倍数(系统速度变动率的倒数),DOUBLE,4
6,GL_E,系统迟缓率,DOUBLE,4
7,GL_Tr,调速器滑阀组时间常数,DOUBLE,4
8,GL_Tb,中间滑阀组时间常数,DOUBLE,4
9,GL_To,油动机开启时间常数,DOUBLE,4
10,GL_Tc,油动机关闭时间常数,DOUBLE,4
11,GL_VELclose,"最大关闭速度,标么",DOUBLE,4
12,GL_VELopen,"最大开启速度,标么",DOUBLE,4
13,Gen_Pmax,"最大原动机输出功率,标幺值",DOUBLE,4
14,Gen_Pmin,"最小原动机输出功率,标幺值",DOUBLE,4
15,KeyName,数据库主键,STRING,16
16,BusPtr,发电机母线索引,INTEGER,4
17,AppendTag,新增记录标记,INTEGER,1
