序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,发电机名称,STRING,10
2,ACBus_kV,发电机基准电压(kV),DOUBLE,4
3,Gen_ID,发电机识别码,INTEGER,1
4,GM_KW,频率偏差放大倍数,DOUBLE,4
5,GM_TR,频率测量环节时间常数(秒),DOUBLE,4
6,GM_Negative_DB1,"转速调节死区(负方向,相对于额定频率的标么值)",DOUBLE,4
7,GM_DB1,"转速调节死区(正方向,相对于额定频率的标么值)",DOUBLE,4
8,GM_KP,PID比例环节放大倍数,DOUBLE,4
9,GM_KD,PID微分环节放大倍数,DOUBLE,4
10,GM_KI,PID积分环节放大倍数,DOUBLE,4
11,GM_TD,PID微分环节时间常数(秒),DOUBLE,4
12,GM_INTG_MAX,PID积分环节限幅上限,DOUBLE,4
13,GM_INTG_MIN,PID积分环节限幅下限,DOUBLE,4
14,GM_PID_MAX,PID输出限幅环节的上限,DOUBLE,4
15,GM_PID_MIN,PID输出限幅环节的下限,DOUBLE,4
16,GM_DELT,"DELT,转速测量的时迟(秒)",DOUBLE,4
17,GM_DB_MAX,一次调频上限,DOUBLE,4
18,GM_DB_MIN,一次调频下限,DOUBLE,4
19,GM_DELT2,测量时迟(秒),DOUBLE,4
20,GM_TR2,测量环节时间常数(秒),DOUBLE,4
21,GM_EP,系数,DOUBLE,4
22,GM_Negative_DB2,负方向死区,DOUBLE,4
23,GM_DB2,正方向死区,DOUBLE,4
24,GM_DBMAX2,限幅上限,DOUBLE,4
25,GM_DBMIN2,限幅下限,DOUBLE,4
26,GM_ITYP,模式选择,INTEGER,1
27,GM_ITYP2,开度模式选择,INTEGER,1
28,KeyName,数据库主键,STRING,16
29,BusPtr,发电机母线索引,INTEGER,4
30,AppendTag,新增记录标记,INTEGER,1
