序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,发电机名称,STRING,10
2,ACBus_kV,发电机基准电压(kV),DOUBLE,4
3,Gen_ID,发电机识别码,INTEGER,1
4,GZ_Tsm,伺服系统时间常数(秒),DOUBLE,4
5,GZ_Ropen,汽门最大开启速度(p.u.gate/sec),DOUBLE,4
6,GZ_Rclose,汽门最大关闭速度(p.u.gate/sec),DOUBLE,4
7,GZ_EHC_MAX,EHC最大位置限制(pu),DOUBLE,4
8,GZ_EHC_MIN,EHC最小位置限制(pu),DOUBLE,4
9,GZ_T_Open,控制阀开启时间常数(sec),DOUBLE,4
10,GZ_T_Close,控制阀关闭时间常数(sec),DOUBLE,4
11,GZ_DB_Value,阀的死区(pu),DOUBLE,4
12,GZ_CV_MAX,阀的死区(pu),DOUBLE,4
13,GZ_CV_MIN,控制阀下限(pu),DOUBLE,4
14,GZ_Kpe,电磁功率反馈增益(pu/pu),DOUBLE,4
15,GZ_Tpe,电磁功率反馈时间常数(sec),DOUBLE,4
16,GZ_Mode,控制模式,INTEGER,1
17,KeyName,数据库主键,STRING,16
18,BusPtr,发电机母线索引,INTEGER,4
19,AppendTag,新增记录标记,INTEGER,1
