序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,电机母线名,STRING,10
2,ACBus_kV,电机母线电压(kV),DOUBLE,4
3,Gen_ID,电机识别码,INTEGER,1
4,Gen_Emws,发电机动能(MW.秒),DOUBLE,4
5,Gen_P,发电机初始有功功率占母线潮流功率比例,DOUBLE,4
6,Gen_Q,发电机初始无功功率占母线潮流功率比例,DOUBLE,4
7,Gen_MVABase,电机标么参数的基准容量,DOUBLE,4
8,Gen_Ra,定子电阻(pu),DOUBLE,4
9,Gen_Xdp,直轴暂态电抗Xdp(pu),DOUBLE,4
10,Gen_Xqp,交流暂态电抗Xqp(pu),DOUBLE,4
11,Gen_Xd,直轴不饱和同步电抗Xd(pu),DOUBLE,4
12,Gen_Xq,交轴不饱和同步电抗Xq(pu),DOUBLE,4
13,Gen_Td0,直轴暂态开路时间常数Tdop(秒),DOUBLE,4
14,Gen_Tq0,交轴暂态开路时间常数Tqop(秒),DOUBLE,4
15,Gen_XL_XP,定子漏抗(pu),DOUBLE,4
16,Gen_SG10,额定电压时电机饱和系数,DOUBLE,4
17,Gen_SG12,额定电压1.2倍时电机饱和系数,DOUBLE,4
18,Gen_D,电机阻尼转距系数百分数,DOUBLE,4
19,Gen_A,饱和a,DOUBLE,4
20,Gen_B,饱和b,DOUBLE,4
21,Gen_N,饱和N,DOUBLE,4
22,Gen_MVA,容量,DOUBLE,4
23,KeyName,数据库主键,STRING,16
24,BusPtr,发电机母线索引,INTEGER,4
25,AppendTag,新增记录标记,INTEGER,1
