序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,发电机名称,STRING,10
2,ACBus_KV,发电机基准电压(kV),DOUBLE,4
3,Gen_ID,发电机识别码ID,INTEGER,1
4,IGV_Tstart,频率变化的起始时刻(周),DOUBLE,4
5,IGV_T1,第1个点对应的时刻(周),DOUBLE,4
6,IGV_FREQ1,第1个点对应的频率变化量(Hz),DOUBLE,4
7,IGV_T2,第2个点对应的时刻(周),DOUBLE,4
8,IGV_FREQ2,第2个点对应的频率变化量(Hz),DOUBLE,4
9,IGV_T3,第3个点对应的时刻(周),DOUBLE,4
10,IGV_FREQ3,第3个点对应的频率变化量(Hz),DOUBLE,4
11,IGV_T4,第4个点对应的时刻(周),DOUBLE,4
12,IGV_FREQ4,第4个点对应的频率变化量(Hz),DOUBLE,4
13,IGV_T5,第5个点对应的时刻(周),DOUBLE,4
14,IGV_FREQ5,第5个点对应的频率变化量(Hz),DOUBLE,4
15,IGV_T6,第6个点对应的时刻(周),DOUBLE,4
16,IGV_FREQ6,第6个点对应的频率变化量(Hz),DOUBLE,4
17,IGV_T7,第7个点对应的时刻(周),DOUBLE,4
18,IGV_FREQ7,第7个点对应的频率变化量(Hz),DOUBLE,4
19,IGV_T8,第8个点对应的时刻(周),DOUBLE,4
20,IGV_FREQ8,第8个点对应的频率变化量(Hz),DOUBLE,4
21,IGV_T9,第9个点对应的时刻(周),DOUBLE,4
22,IGV_FREQ9,第9个点对应的频率变化量(Hz),DOUBLE,4
23,IGV_T10,第10个点对应的时刻(周),DOUBLE,4
24,IGV_FREQ10,第10个点对应的频率变化量(Hz),DOUBLE,4
25,IGV_T11,第11个点对应的时刻(周),DOUBLE,4
26,IGV_FREQ11,第11个点对应的频率变化量(Hz),DOUBLE,4
27,KeyName,数据库主键,STRING,16
28,BusPtr,发电机母线索引,INTEGER,4
