序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,母线名称,STRING,10
2,ACBus_kV,基准电压(kV),DOUBLE,4
3,LAB_Zone,"ZONE,分区名",STRING,4
4,LAB_Area,区域名,STRING,16
5,LAB_P1,恒定阻抗有功负荷百分数,DOUBLE,4
6,LAB_Q1,恒定阻抗无功负荷百分数,DOUBLE,4
7,LAB_P2,恒定电流有功负荷百分数,DOUBLE,4
8,LAB_Q2,恒定电流无功负荷百分数,DOUBLE,4
9,LAB_P3,恒定功率有功负荷百分数,DOUBLE,4
10,LAB_Q3,恒定功率无功负荷百分数,DOUBLE,4
11,LAB_P4,与频率有关的有功负荷百分数,DOUBLE,4
12,LAB_Q4,与频率有关的无功负荷百分数,DOUBLE,4
13,LAB_LDP,频率变化1％引起的有功变化,DOUBLE,4
14,LAB_LDQ,频率变化1％引起的无功变化,DOUBLE,4
15,LAB_P5,电压指数相关的有功负荷比例,DOUBLE,4
16,LAB_Q5,电压指数相关的无功负荷比例,DOUBLE,4
17,LAB_NP,有功电压指数,DOUBLE,4
18,LAB_NQ,无功电压指数,DOUBLE,4
