序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,母线名称,STRING,10
2,ACBus_kV,基准电压(kV),DOUBLE,4
3,Bus_ID,BusID识别码ID,INTEGER,1
4,MI_Emws,马达的动能(兆瓦秒),DOUBLE,4
5,MI_P,马达功率占母线有功负荷的比例,DOUBLE,4
6,MI_MVA,马达的基准功率值(MVA),DOUBLE,4
7,MI_RS,定子电阻(pu),DOUBLE,4
8,MI_XS,定子电抗(pu),DOUBLE,4
9,MI_XM,激磁电抗(pu),DOUBLE,4
10,MI_RR,转子电阻(pu),DOUBLE,4
11,MI_XR,转子电抗(pu),DOUBLE,4
12,MI_VI,马达低压释放的电压值,DOUBLE,4
13,MI_TI,马达低压释放时延(秒),DOUBLE,4
14,MI_A,转矩方程常数,DOUBLE,4
15,MI_B,转矩方程常数,DOUBLE,4
16,MI_IM,马达滑差达到1时的处理方式,INTEGER,1
17,BusPtr,母线索引,INTEGER,4
