序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,母线名称,STRING,10
2,ACBus_kV,基准电压(kV),DOUBLE,4
3,Bus_ID,BusID识别码ID,INTEGER,1
4,ML_TJ,马达的惯性时间常数(秒),DOUBLE,4
5,ML_Pper,马达功率占母线有功负荷的比例,DOUBLE,4
6,ML_KL,马达的负载率或初始滑差,DOUBLE,4
7,ML_Pmin,马达的功率因数,DOUBLE,4
8,ML_RS,定子电阻(pu),DOUBLE,4
9,ML_XS,定子电抗(pu),DOUBLE,4
10,ML_XM,激磁电抗(pu),DOUBLE,4
11,ML_RR,转子电阻(pu),DOUBLE,4
12,ML_XR,转子电抗(pu),DOUBLE,4
13,ML_VI,马达低压释放的电压值,DOUBLE,4
14,ML_TI,马达低压释放时延(秒),DOUBLE,4
15,ML_A,转矩方程常数,DOUBLE,4
16,ML_B,转矩方程常数,DOUBLE,4
17,ML_S0,负载率或初始滑差,INTEGER,1
18,ML_IM,马达滑差达到1时的处理方式,INTEGER,1
19,BusPtr,母线索引,INTEGER,4
