序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,母线名,STRING,10
2,ACBus_kV,基准电压,DOUBLE,4
3,Gen_ID,发电机识别码,INTEGER,1
4,PssS_KQV,电压控制增益,DOUBLE,4
5,PssS_TQV,电压变送器时间常数,DOUBLE,4
6,PssS_KQS,频率、加速功率和轴滑差控制增益,DOUBLE,4
7,PssS_TQS,频率、加速功率和轴滑差控制时间常数,DOUBLE,4
8,PssS_TQ,PSS控制时间常数,DOUBLE,4
9,PssS_TQ1,第一个滞后时间常数,DOUBLE,4
10,PssS_TQ1P,第一个超前时间常数,DOUBLE,4
11,PssS_TQ2,第二个滞后时间常数,DOUBLE,4
12,PssS_TQ2P,第二个超前时间常数,DOUBLE,4
13,PssS_TQ3,第三个滞后时间常数,DOUBLE,4
14,PssS_TQ3P,第三个超前时间常数,DOUBLE,4
15,PssS_VSmax,PSS最大输出(pu),DOUBLE,4
16,PssS_VCutOff,"参考电压值,其意义见框图说明",DOUBLE,4
17,PssS_VSlow,用于确定VSMIN值,DOUBLE,4
18,PssS_KQBase,KQ的基准容量(MVA),DOUBLE,4
19,PssS_RBusName,远方母线名,STRING,10
20,PssS_RBuskV,远方母线基准电压,DOUBLE,4
21,KeyName,数据库主键,STRING,16
22,BusPtr,发电机母线索引,INTEGER,4
23,PssS_iRRBus,远方母线母线索引,INTEGER,4
24,AppendTag,新增记录标记,INTEGER,1
