序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,发电机名称,STRING,10
2,ACBus_KV,发电机基准电压(kV),DOUBLE,4
3,Gen_ID,BusID识别码ID,INTEGER,1
4,PssSB_ISIG,"ISIG,输入信号标志",INTEGER,1
5,PssSB_TD,TD(秒),DOUBLE,4
6,PssSB_TW1,TW1(秒),DOUBLE,4
7,PssSB_TW2,TW2(秒),DOUBLE,4
8,PssSB_T6,T6(秒),DOUBLE,4
9,PssSB_TW3,TW3(秒),DOUBLE,4
10,PssSB_TW4,TW4(秒),DOUBLE,4
11,PssSB_T7,T7(秒),DOUBLE,4
12,PssSB_KS2,KS2,DOUBLE,4
13,PssSB_KS3,KS3,DOUBLE,4
14,PssSB_KPG,KPG(PU),DOUBLE,4
15,PssSB_MVA_BSE,MVA_BSE(MVA),DOUBLE,4
16,PssSB_T8,T8(秒),DOUBLE,4
17,PssSB_T9,T9(秒),DOUBLE,4
18,PssSB_M,M,INTEGER,1
19,PssSB_N,N,INTEGER,1
20,PssSB_KS1,KS1,DOUBLE,4
21,PssSB_T1,T1(秒),DOUBLE,4
22,PssSB_T2,T2(秒),DOUBLE,4
23,PssSB_T3,T3(秒),DOUBLE,4
24,PssSB_T4,T4(秒),DOUBLE,4
25,PssSB_VPMax,VPMAX,DOUBLE,4
26,PssSB_VPMin,VPMIN,DOUBLE,4
27,KeyName,数据库主键,STRING,16
28,BusPtr,发电机母线索引,INTEGER,4
29,AppendTag,新增记录标记,INTEGER,1
