序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,母线名,STRING,10
2,ACBus_kV,基准电压,DOUBLE,4
3,Gen_ID,发电机识别码,INTEGER,1
4,PssSH_TD,TD,DOUBLE,4
5,PssSH_T1,T1,DOUBLE,4
6,PssSH_T2,T2,DOUBLE,4
7,PssSH_T3,T3,DOUBLE,4
8,PssSH_K0,K0,DOUBLE,4
9,PssSH_K1,K1,DOUBLE,4
10,PssSH_K2,K2,DOUBLE,4
11,PssSH_K3,K3,DOUBLE,4
12,PssSH_K,K,DOUBLE,4
13,PssSH_VSMax,PSS最大输出(pu),DOUBLE,4
14,PssSH_VSMin,PSS最小输出(pu),DOUBLE,4
15,PssSH_KP,KP,DOUBLE,4
16,PssSH_KMVA,KP的基准容量(MVA),DOUBLE,4
17,PssSHEX_KPM,KPM,DOUBLE,4
18,PssSHEX_TPM,TPM,DOUBLE,4
19,PssSHEX_KPE,KPE,DOUBLE,4
20,PssSHEX_TPE,TPE,DOUBLE,4
21,PssSHEX_KW,KW,DOUBLE,4
22,PssSHEX_TW,TW,DOUBLE,4
23,PssSHEX_TD1,TD1,DOUBLE,4
24,PssSHEX_TD2,TD2,DOUBLE,4
25,PssSHEX_KD1,本参数目前仅限于填写0或者1,INTEGER,1
26,PssSHEX_T4,T4,DOUBLE,4
27,PssSHEX_K4,K4,DOUBLE,4
28,PssSHEX_KMVA,KPM和KPE的基准容量(MVA),DOUBLE,4
29,KeyName,数据库主键,STRING,16
30,BusPtr,发电机母线索引,INTEGER,4
31,AppendTag,新增记录标记,INTEGER,1
