序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,发电机母线名,STRING,10
2,ACBus_kV,发电机基准电压(kV),DOUBLE,4
3,Gen_ID,发电机识别码,INTEGER,1
4,PssSI_TRW,TRW,DOUBLE,4
5,PssSI_T5,T5,DOUBLE,4
6,PssSI_T6,T6,DOUBLE,4
7,PssSI_T7,T7,DOUBLE,4
8,PssSI_KR,KR,DOUBLE,4
9,PssSI_TRP,TRP,DOUBLE,4
10,PssSI_TW,TW,DOUBLE,4
11,PssSI_TW1,TW1,DOUBLE,4
12,PssSI_TW2,TW2,DOUBLE,4
13,PssSI_KS,KS,DOUBLE,4
14,PssSI_T9,T9,DOUBLE,4
15,PssSI_T10,T10,DOUBLE,4
16,PssSI_T12,T12,DOUBLE,4
17,PssSI_INP,输入信号,INTEGER,1
18,PssSI_KP,KP,DOUBLE,4
19,PssSI_T1,T1,DOUBLE,4
20,PssSI_T2,T2,DOUBLE,4
21,PssSI_T13,T13,DOUBLE,4
22,PssSI_T14,T14,DOUBLE,4
23,PssSI_T3,T3,DOUBLE,4
24,PssSI_T4,T4,DOUBLE,4
25,PssSI_VSMax,VSMAX,DOUBLE,4
26,PssSI_VSMin,VSMIN,DOUBLE,4
27,PssSI_IB,IB,INTEGER,1
28,PssSI_MeaBusName,MeaName,STRING,10
29,PssSI_MeaBusKV,MeaKV,DOUBLE,4
30,PssSI_KMVA,SI卡中的KR的基准容量(MVA),DOUBLE,4
31,KeyName,数据库主键,STRING,16
32,BusPtr,发电机母线索引,INTEGER,4
33,Gen_iRMeaBus,量测母线索引,INTEGER,4
34,AppendTag,新增记录标记,INTEGER,1
