序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,母线名称,STRING,10
2,ACBus_KV,基准电压(kV),DOUBLE,4
3,Gen_ID,发电机识别码,INTEGER,1
4,RE_VOL1,电压设定值1(pu),DOUBLE,4
5,RE_VOL2,电压设定值2(pu),DOUBLE,4
6,RE_VOL3,电压设定值3(pu),DOUBLE,4
7,RE_VOL4,电压设定值4(pu),DOUBLE,4
8,RE_VOL5,电压设定值5(pu),DOUBLE,4
9,RE_VOL6,电压设定值6(pu),DOUBLE,4
10,RE_VOL7,电压设定值7(pu),DOUBLE,4
11,RE_VOL8,电压设定值8(pu),DOUBLE,4
12,RE_VOL9,电压设定值9(pu),DOUBLE,4
13,RE_VOL10,电压设定值10(pu),DOUBLE,4
14,RE_TIME1,时迟1(周),DOUBLE,4
15,RE_TIME2,时迟2(周),DOUBLE,4
16,RE_TIME3,时迟3(周),DOUBLE,4
17,RE_TIME4,时迟4(周),DOUBLE,4
18,RE_TIME5,时迟5(周),DOUBLE,4
19,RE_TIME6,时迟6(周),DOUBLE,4
20,RE_TIME7,时迟7(周),DOUBLE,4
21,RE_TIME8,时迟8(周),DOUBLE,4
22,RE_TIME9,时迟9(周),DOUBLE,4
23,RE_TIME10,时迟10(周),DOUBLE,4
24,RE_TBRK,继电器动作时间(周),DOUBLE,4
25,RE_NAME_CON,控制母线名称,STRING,10
26,RE_KV_CON,控制母线基准电压,DOUBLE,4
27,KeyName,数据库主键,STRING,16
28,BusPtr,发电机母线索引,INTEGER,4
