序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,母线名称,STRING,10
2,ACBus_KV,基准电压(kV),DOUBLE,4
3,Gen_ID,发电机识别码,INTEGER,1
4,RW_Wmax,发电机立即跳闸的最大转速(pu),DOUBLE,4
5,RW_Wmin,发电机立即跳闸的最小转速(pu),DOUBLE,4
6,RW_Wset1,发电机转速设定值1(pu),DOUBLE,4
7,RW_Wset2,发电机转速设定值2(pu),DOUBLE,4
8,RW_Wset3,发电机转速设定值3(pu),DOUBLE,4
9,RW_Wset4,发电机转速设定值4(pu),DOUBLE,4
10,RW_Wset5,发电机转速设定值5(pu),DOUBLE,4
11,RW_Wset6,发电机转速设定值6(pu),DOUBLE,4
12,RW_Wset7,发电机转速设定值7(pu),DOUBLE,4
13,RW_Wset8,发电机转速设定值8(pu),DOUBLE,4
14,RW_Wset9,发电机转速设定值9(pu),DOUBLE,4
15,RW_Wset10,发电机转速设定值10(pu),DOUBLE,4
16,RW_Delay1,发电机转速设定值1对应的时迟(周),DOUBLE,4
17,RW_Delay2,发电机转速设定值2对应的时迟(周),DOUBLE,4
18,RW_Delay3,发电机转速设定值3对应的时迟(周),DOUBLE,4
19,RW_Delay4,发电机转速设定值4对应的时迟(周),DOUBLE,4
20,RW_Delay5,发电机转速设定值5对应的时迟(周),DOUBLE,4
21,RW_Delay6,发电机转速设定值6对应的时迟(周),DOUBLE,4
22,RW_Delay7,发电机转速设定值7对应的时迟(周),DOUBLE,4
23,RW_Delay8,发电机转速设定值8对应的时迟(周),DOUBLE,4
24,RW_Delay9,发电机转速设定值9对应的时迟(周),DOUBLE,4
25,RW_Delay10,发电机转速设定值10对应的时迟(周),DOUBLE,4
26,RW_Tbrk,继电器动作时间(周),DOUBLE,4
27,BusPtr,发电机母线索引,INTEGER,4
