序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,母线名称,STRING,10
2,ACBus_KV,基准电压(kV),DOUBLE,4
3,UF_Freq01,第01级减负荷时的频率(Hz),DOUBLE,4
4,UF_Freq02,第02级减负荷时的频率(Hz),DOUBLE,4
5,UF_Freq03,第03级减负荷时的频率(Hz),DOUBLE,4
6,UF_Freq04,第04级减负荷时的频率(Hz),DOUBLE,4
7,UF_Freq05,第05级减负荷时的频率(Hz),DOUBLE,4
8,UF_Freq06,第06级减负荷时的频率(Hz),DOUBLE,4
9,UF_Freq07,第07级减负荷时的频率(Hz),DOUBLE,4
10,UF_Freq08,第08级减负荷时的频率(Hz),DOUBLE,4
11,UF_Freq09,第09级减负荷时的频率(Hz),DOUBLE,4
12,UF_Freq10,第10级减负荷时的频率(Hz),DOUBLE,4
13,UF_Delay01,第01级减负荷前的时延(周),DOUBLE,4
14,UF_Delay02,第02级减负荷前的时延(周),DOUBLE,4
15,UF_Delay03,第03级减负荷前的时延(周),DOUBLE,4
16,UF_Delay04,第04级减负荷前的时延(周),DOUBLE,4
17,UF_Delay05,第05级减负荷前的时延(周),DOUBLE,4
18,UF_Delay06,第06级减负荷前的时延(周),DOUBLE,4
19,UF_Delay07,第07级减负荷前的时延(周),DOUBLE,4
20,UF_Delay08,第08级减负荷前的时延(周),DOUBLE,4
21,UF_Delay09,第09级减负荷前的时延(周),DOUBLE,4
22,UF_Delay10,第10级减负荷前的时延(周),DOUBLE,4
23,UF_Shed01,第01级初始负荷被减去的值,DOUBLE,4
24,UF_Shed02,第02级初始负荷被减去的值,DOUBLE,4
25,UF_Shed03,第03级初始负荷被减去的值,DOUBLE,4
26,UF_Shed04,第04级初始负荷被减去的值,DOUBLE,4
27,UF_Shed05,第05级初始负荷被减去的值,DOUBLE,4
28,UF_Shed06,第06级被减去的负荷值(MW),DOUBLE,4
29,UF_Shed07,第07级被减去的负荷值(MW),DOUBLE,4
30,UF_Shed08,第08级被减去的负荷值(MW),DOUBLE,4
31,UF_Shed09,第09级被减去的负荷值(MW),DOUBLE,4
32,UF_Shed10,第10级被减去的负荷值(MW),DOUBLE,4
33,UF_W,"特别码W,表示以MW为单位减去负荷",INTEGER,1
