序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,母线名称,STRING,10
2,ACBus_KV,基准电压(kV),DOUBLE,4
3,UV_Volt01,第01级减负荷时的电压(PU),DOUBLE,4
4,UV_Volt02,第02级减负荷时的电压(PU),DOUBLE,4
5,UV_Volt03,第03级减负荷时的电压(PU),DOUBLE,4
6,UV_Volt04,第04级减负荷时的电压(PU),DOUBLE,4
7,UV_Volt05,第05级减负荷时的电压(PU),DOUBLE,4
8,UV_Volt06,第06级减负荷时的电压(pu),DOUBLE,4
9,UV_Volt07,第07级减负荷时的电压(pu),DOUBLE,4
10,UV_Volt08,第08级减负荷时的电压(pu),DOUBLE,4
11,UV_Volt09,第09级减负荷时的电压(pu),DOUBLE,4
12,UV_Volt10,第10级减负荷时的电压(pu),DOUBLE,4
13,UV_Delay01,第01级减负荷前的时延(周),DOUBLE,4
14,UV_Delay02,第02级减负荷前的时延(周),DOUBLE,4
15,UV_Delay03,第03级减负荷前的时延(周),DOUBLE,4
16,UV_Delay04,第04级减负荷前的时延(周),DOUBLE,4
17,UV_Delay05,第05级减负荷前的时延(周),DOUBLE,4
18,UV_Delay06,第06级减负荷前的时延(周),DOUBLE,4
19,UV_Delay07,第07级减负荷前的时延(周),DOUBLE,4
20,UV_Delay08,第08级减负荷前的时延(周),DOUBLE,4
21,UV_Delay09,第09级减负荷前的时延(周),DOUBLE,4
22,UV_Delay10,第10级减负荷前的时延(周),DOUBLE,4
23,UV_Shed01,第01级初始负荷被减去的值,DOUBLE,4
24,UV_Shed02,第02级初始负荷被减去的值,DOUBLE,4
25,UV_Shed03,第03级初始负荷被减去的值,DOUBLE,4
26,UV_Shed04,第04级初始负荷被减去的值,DOUBLE,4
27,UV_Shed05,第05级初始负荷被减去的值,DOUBLE,4
28,UV_Shed06,第06级被减去的负荷值(MW),DOUBLE,4
29,UV_Shed07,第07级被减去的负荷值(MW),DOUBLE,4
30,UV_Shed08,第08级被减去的负荷值(MW),DOUBLE,4
31,UV_Shed09,第09级被减去的负荷值(MW),DOUBLE,4
32,UV_Shed10,第10级被减去的负荷值(MW),DOUBLE,4
33,UV_W,"特别码W,表示以MW为单位减去负荷",INTEGER,1
