序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,母线名称,STRING,10
2,ACBus_KV,母线基准电压(kV),DOUBLE,4
3,ID,并联支路识别码,INTEGER,1
4,TS1,滤波器时间常数(秒),DOUBLE,4
5,VEMAX,最大电压偏差(pu),DOUBLE,4
6,TS2,第一级超前时间常数(秒),DOUBLE,4
7,TS3,第一级滞后时间常数(秒),DOUBLE,4
8,A,超前识别码(不能为0),INTEGER,1
9,B,滞后识别码(不能为0),INTEGER,1
10,TS4,第二级超前时间常数(秒),DOUBLE,4
11,TS5,第二级滞后时间常数(秒),DOUBLE,4
12,KSVS,连续控制增益,DOUBLE,4
13,KSD,间断控制增益,DOUBLE,4
14,BMAX,最大导纳(pu),DOUBLE,4
15,BPMAX,连续控制的最大导纳(pu),DOUBLE,4
16,BPMIN,连续控制的最小导纳(pu),DOUBLE,4
17,BMIN,最小导纳(pu),DOUBLE,4
18,TS6,可控硅(Thyristor)触发时延(秒),DOUBLE,4
19,DV,电压偏差,DOUBLE,4
20,CON_NAME,被控母线名,STRING,10
21,CON_KV,被控母线基准电压,DOUBLE,4
22,KeyName,数据库主键,STRING,16
23,BusPtr,母线索引,INTEGER,4
