序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,母线名称,STRING,10
2,ACBus_KV,母线基准电压(kV),DOUBLE,4
3,MvaBase,额定容量,DOUBLE,4
4,T1,滤波器和测量回路的时间常数(秒),DOUBLE,4
5,T2,第一级超前时间常数(秒),DOUBLE,4
6,T3,第一级滞后时间常数(秒),DOUBLE,4
7,T4,第二级超前时间常数(秒),DOUBLE,4
8,T5,第二级滞后时间常数(秒),DOUBLE,4
9,TP,比例环节时间常数(秒),DOUBLE,4
10,TS,STATCOM响应延迟(秒),DOUBLE,4
11,KP,比例环节放大倍数,DOUBLE,4
12,KI,积分环节的放大倍数,DOUBLE,4
13,KD,STATCOM的V-I特性曲线的斜率,DOUBLE,4
14,XT,STATCOM与系统之间的等值电抗(pu),DOUBLE,4
15,VMAX,电压限幅环节的上限(pu),DOUBLE,4
16,VMIN,电压限幅环节的下限(pu),DOUBLE,4
17,ICMAX,最大容性电流(pu),DOUBLE,4
18,ILMAX,最大感性电流(pu),DOUBLE,4
19,VSTANDBY,与系统相连的节点电压低于此值,DOUBLE,4
20,CON_NAME,被控母线名,STRING,10
21,CON_KV,被控母线基准电压,DOUBLE,4
22,KeyName,数据库主键,STRING,16
23,BusPtr,母线索引,INTEGER,4
