序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,10
1,ACBus_Name,电机母线名,STRING,10
2,ACBus_kV,电机母线电压(kV),DOUBLE,4
3,Gen_ID,电机识别码,INTEGER,1
4,GE_TYPE,风电机组类型代码,STRING,32
5,NG,风电机组台数,INTEGER,2
6,NAME_CON,风电场无功控制节点名称,STRING,10
7,BASE_CON,风电场无功控制节点基准电压,DOUBLE,4
8,PPER,有功占潮流总出力比例,DOUBLE,4
9,QPER,无功占潮流总出力比例,DOUBLE,4
10,V0,初始风速(m/s),DOUBLE,4
11,NMASS_FLG,"=0考虑双质量块,否则单质量块",INTEGER,1
12,QDROOP_FLG,"=0不考虑QDROOP,否则考虑",INTEGER,1
13,WINDCON_FLG,=0风电场无功电压/恒功率因数控制模式,INTEGER,1
14,EWVOL_FLG,=0电气控制采用电压反馈,INTEGER,1
15,APCFLG,"=0不采用APC有功控制功能,否则采用",INTEGER,1
16,FFLG,=0APC功能中采用最大输出限制控制功能,INTEGER,1
17,INERTIA,=0不采用WINDINERTIA功能,INTEGER,1
18,PQFLG,"=0无功优先标志,否则有功优先(直驱)",INTEGER,1
19,KeyName,数据库主键,STRING,16
20,BusPtr,发电机母线索引,INTEGER,4
