序号,名称,描述,类型,长度
0,ResourceID,资源ID,DOUBLE,8
1,GraphicID,Graph/Icon表索引,DOUBLE,8
2,ParentID,父Shape索引,DOUBLE,8
3,Type,图元类型,INTEGER,2
4,Layer,层,INTEGER,2
5,Visible,可见性,INTEGER,1
6,RelativeXYZ,相对/绝对坐标,INTEGER,1
7,RefShapeID,相对坐标参考图元,DOUBLE,8
8,RefShapePoint,相对坐标参考位置,INTEGER,2
9,LBGisX,空间坐标X轴,DOUBLE,8
10,LBGisY,空间坐标Y轴,DOUBLE,8
11,LBGisZ,空间坐标Z轴,DOUBLE,8
12,Closed,封闭,INTEGER,1
13,Filled,填充,INTEGER,1
14,Color,颜色,STRING,16
15,FillColor,填充色,STRING,16
16,PenStyle,线型,INTEGER,2
17,PenWidth,线宽,INTEGER,2
18,Transparent,透明度,DOUBLE,4
19,Gradient,梯度,INTEGER,1
20,Tooltip,提示,STRING,32
21,Precision,实数的有效位,INTEGER,2
22,FontName,字体名称,STRING,32
23,FontHeight,字体大小,INTEGER,2
24,FontBold,粗体,INTEGER,1
25,FontItalic,斜体,INTEGER,1
26,FontColor,文字颜色,INTEGER,4
27,FontHorizontalAlign,横向对齐,INTEGER,2
28,FontVerticalAlign,纵向对齐,INTEGER,2
29,TextPrefix,文本前缀,STRING,64
30,PrefixSplit,前缀宽度占比,DOUBLE,8
31,PrefixHorizontalAlign,前缀横向对齐,INTEGER,2
32,PrefixFontColor,前缀文本颜色,STRING,16
33,TextString,文本,STRING,64
34,ImageFile,图片名称,STRING,64
35,IconName,图符名称,STRING,64
36,AnimateType,动画类型,INTEGER,2
37,AnimatePeriod,动画周期,INTEGER,2
38,AnimateOrient,动画方向,INTEGER,2
39,AnimateDensity,动画频率,INTEGER,2
40,AnimateColor,动画颜色,INTEGER,4
41,SnapMode,捕捉方式,INTEGER,2
42,ContourVisible,轮廓可见,INTEGER,1
43,StartAngle,起始角度,INTEGER,2
44,EndAngle,终止角度,INTEGER,2
45,PointNum,点个数,INTEGER,4
46,ContourIdx,轮廓索引,INTEGER,4
47,PointIdx,点索引,INTEGER,4
48,MapIdx,匹配值索引,INTEGER,4
49,CommandIdx,命令行索引,INTEGER,4
50,DataExpIdx,显示信息索引,INTEGER,4
51,DataVarIdx,承载数据索引,INTEGER,4
