序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,Substation,厂站,STRING,64
2,Name,名称,STRING,64
3,Description,描述,STRING,64
4,VoltagelevelAC,交流电压等级,STRING,16
5,VoltagelevelDC,直流电压等级,STRING,16
6,ElectronicTransformer,所属电力电子变压器,STRING,64
7,Isolator,隔离器,INTEGER,1
8,ConnectivityNodeAC,交流节点,STRING,64
9,ConnectivityNodeDC,直流节点,STRING,64
10,RatedPower,额定容量(兆瓦),DOUBLE,4
11,MinQ,最小无功(兆乏),DOUBLE,4
12,MaxQ,最大无功(兆乏),DOUBLE,4
13,DCControlMode,直流侧控制模式,INTEGER,1
14,DCControlValue,"直流侧控制值(电压标幺,功率兆瓦)",DOUBLE,4
15,ControlVac,交流侧电压控制值(标幺),DOUBLE,4
16,LossParamA,损耗多项式参数(a),DOUBLE,4
17,LossParamB,损耗多项式参数(b),DOUBLE,4
18,LossParamC,损耗多项式参数(c),DOUBLE,4
19,ri_Rerr,故障率(次/台.年),DOUBLE,4
20,ri_Trep,修复时间(小时/次),DOUBLE,4
21,ri_Rchk,计划检修率(次/台.年),DOUBLE,4
22,ri_Tchk,检修时间(小时/次),DOUBLE,4
23,ri_Tfloc,故障定位隔离时间(小时),DOUBLE,4
24,ri_Direction,供电方向,INTEGER,1
25,ei_Invest,投资费用(万元),DOUBLE,4
26,MCRTypeAC,交流主接线可靠性设备类型,INTEGER,1
27,MCRTypeDC,直流主接线可靠性设备类型,INTEGER,1
28,MCRPower,主接线可靠性源/荷功率,DOUBLE,4
29,Vac,交流电压(千伏),DOUBLE,4
30,Pac,交流有功(兆瓦),DOUBLE,4
31,Qac,交流无功(兆乏),DOUBLE,4
32,Aac,交流电流(安培),DOUBLE,4
33,Vdc,直流电压(千伏),DOUBLE,4
34,Pdc,直流有功(兆瓦),DOUBLE,4
35,Adc,直流电流(安培),DOUBLE,4
36,Loss,损耗(兆瓦),DOUBLE,4
37,ro_RContribution,停运率贡献(%),DOUBLE,4
38,ro_UContribution,停运时间贡献(%),DOUBLE,4
39,ro_EnsContribution,停电电量贡献(%),DOUBLE,4
40,CalculatePac,交流侧有功计算值(兆瓦),DOUBLE,4
41,CalculateQac,交流侧无功计算值(兆乏),DOUBLE,4
42,VoltACPTR,交流电压等级索引,INTEGER,2
43,VoltDCPTR,直流电压等级索引,INTEGER,2
44,NodeACPTR,交流节点索引,INTEGER,4
45,NodeDCPTR,直流节点索引,INTEGER,4
46,TopoBusAC,交流拓扑节点,INTEGER,4
47,TopoBusDC,直流拓扑节点,INTEGER,4
48,IslandAC,交流侧电岛,INTEGER,2
49,IslandDC,直流侧电岛,INTEGER,2
50,EdgeAC,交流边设备索引,INTEGER,2
51,EdgeDC,直流边设备索引,INTEGER,2
52,PStateAC,交流侧功率状态,INTEGER,1
53,PStateDC,直流侧功率状态,INTEGER,1
54,Type,类型,INTEGER,1
55,Open,拓扑状态,INTEGER,1
56,Outage,设备状态,INTEGER,1
