序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,ObjectID,ObjectId,STRING,64
2,Name,名称,STRING,64
3,Description,描述,STRING,64
4,iSubstation,起厂站,STRING,64
5,zSubstation,终厂站,STRING,64
6,iVoltageLevel,起电压等级,STRING,16
7,zVoltageLevel,终电压等级,STRING,16
8,Line,所属线路,STRING,64
9,ConnectivityNodeI,起节点,STRING,64
10,ConnectivityNodeJ,终节点,STRING,64
11,Vacant,线路悬空,INTEGER,1
12,LineType,架空/电缆,INTEGER,1
13,LineModel,线路型号,STRING,32
14,AutoLength,自动计算长度,INTEGER,1
15,Length,线路长度(千米),DOUBLE,4
16,RatedCur,电流限值(安),DOUBLE,4
17,RatedMva,功率限值(兆伏安),DOUBLE,4
18,UnitR,单位电阻(欧姆),DOUBLE,4
19,UnitX,单位电抗(欧姆),DOUBLE,4
20,UnitG,单位电导(西门子),DOUBLE,4
21,UnitB,单位电纳(西门子),DOUBLE,4
22,R,电阻(标幺),DOUBLE,4
23,X,电抗(标幺),DOUBLE,4
24,G,电导(标幺),DOUBLE,4
25,B,电纳(标幺),DOUBLE,4
26,R0,零序电阻(标幺),DOUBLE,4
27,X0,零序电抗(标幺),DOUBLE,4
28,B0,零序电纳(标幺),DOUBLE,4
29,iStatus,起状态,INTEGER,1
30,zStatus,终状态,INTEGER,1
31,ri_UnitRerr,单位故障率(次/千米.年),DOUBLE,4
32,ri_UnitTrep,单位修复时间(小时/次),DOUBLE,4
33,ri_UnitRchk,单位计划检修率(次/千米.年),DOUBLE,4
34,ri_UnitTchk,单位检修时间(小时/次),DOUBLE,4
35,ri_Rerr,故障率(次/年),DOUBLE,4
36,ri_Trep,修复时间(小时/次),DOUBLE,4
37,ri_Rchk,计划检修率(次/年),DOUBLE,4
38,ri_Tchk,检修时间(小时/次),DOUBLE,4
39,ri_Tfloc,故障定位隔离时间(小时),DOUBLE,4
40,ri_TSwitch,转电时间(小时/次),DOUBLE,4
41,ri_Tdelay,操作延时(小时/次),DOUBLE,4
42,ri_Customer,用户数,DOUBLE,4
43,ri_Direction,供电方向,INTEGER,1
44,ei_UnitInvest,单位投资费用(万元/千米),DOUBLE,4
45,ei_Invest,投资费用(万元),DOUBLE,4
46,ei_ConstLoss,每次固定停电损失(万元/次),DOUBLE,4
47,ei_EvalRatio,单位电能停电损失,DOUBLE,4
48,LoadSide,负荷所接线路侧,INTEGER,1
49,LineLoadP,线路负荷功率(兆瓦),DOUBLE,4
50,LineLoadFactor,线路负荷功率因数,DOUBLE,4
51,LineCap,线上无功补偿容量(兆乏),DOUBLE,4
52,SeriesCap,线上串联补偿(标幺),DOUBLE,4
53,HeatingLoad,线路热负荷功率(兆瓦),DOUBLE,4
54,RefrigerationLoad,线路冷负荷功率(兆瓦),DOUBLE,4
55,ri_Load_Rerr,配出负荷故障率(次/年),DOUBLE,4
56,ri_Load_Trep,配出负荷修复时间(小时/次),DOUBLE,4
57,ri_Load_Rchk,配出负荷计划检修率(次/年),DOUBLE,4
58,ri_Load_Tchk,配出负荷检修时间(小时/次),DOUBLE,4
59,vd_RScc1,单相接地频率(次/年),DOUBLE,4
60,vd_RScc2,相间短路频率(次/年),DOUBLE,4
61,vd_RScc3,三相短路频率(次/年),DOUBLE,4
62,vd_RScc4,两相接地频率(次/年),DOUBLE,4
63,RATunning,低压自动保护整定(标幺),DOUBLE,4
64,RADelay,低压自动保护时限(周),DOUBLE,4
65,RAPlate,低压自动保护压板,INTEGER,1
66,RUTunning,低周自动保护整定(频率),DOUBLE,4
67,RUDelay,低周自动保护时限(周),DOUBLE,4
68,RUPlate,低周自动保护压板,INTEGER,1
69,MCRType,主接线可靠性设备类型,INTEGER,1
70,MCRPower,主接线可靠性源/荷功率,DOUBLE,4
71,Pi,起点有功(兆瓦),DOUBLE,4
72,Qi,起点无功(兆乏),DOUBLE,4
73,Pj,终点有功(兆瓦),DOUBLE,4
74,Qj,终点无功(兆乏),DOUBLE,4
75,A,电流(安培),DOUBLE,4
76,LossP,损耗有功(兆瓦),DOUBLE,4
77,LossQ,损耗无功(兆乏),DOUBLE,4
78,ScIa,A相短路电流(安培),DOUBLE,4
79,ScIb,B相短路电流(安培),DOUBLE,4
80,ScIc,C相短路电流(安培),DOUBLE,4
81,ScI1,正序短路电流(安培),DOUBLE,4
82,ScI2,负序短路电流(安培),DOUBLE,4
83,ScI0,零序短路电流(安培),DOUBLE,4
84,ro_RContribution,停运率贡献(%),DOUBLE,4
85,ro_UContribution,停运时间贡献(%),DOUBLE,4
86,ro_ENSContribution,停电电量贡献(%),DOUBLE,4
87,sa_Result,N-1通过情况,INTEGER,1
88,sa_Island,N-1形成孤岛,INTEGER,1
89,sa_Failure,N-1负荷损失(兆伏安),DOUBLE,4
90,sa_ShiftNode,N-1转电节点,INTEGER,4
91,TopoBusI,起拓扑节点,INTEGER,4
92,TopoBusJ,终拓扑节点,INTEGER,4
93,Island,岛,INTEGER,2
94,LinePtr,所属线路索引,INTEGER,2
95,NodeIPtr,起节点索引,INTEGER,4
96,NodeJPtr,终节点索引,INTEGER,4
97,EdgeI,起边线路索引,INTEGER,2
98,EdgeJ,终边线路索引,INTEGER,2
99,Distribution,配网设备,INTEGER,1
100,State,综合状态(着色),INTEGER,1
101,InRing,环网标记,INTEGER,1
102,Radiate,辐射网号,INTEGER,2
103,TrunkLine,分支/主干,INTEGER,1
104,Open,拓扑状态,INTEGER,1
105,Outage,设备状态,INTEGER,1
