序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,Name,名称,STRING,64
2,Trunk,所属主干线,STRING,64
3,TowerID,接入杆塔/电缆头编号,INTEGER,2
4,VoltageLevel,电压等级,STRING,16
5,LineType,架空/电缆,INTEGER,1
6,LineModel,线路型号,STRING,64
7,Length,线路长度(KM),DOUBLE,4
8,Status,状态,INTEGER,1
9,LoadP,线路负荷功率(MW),DOUBLE,4
10,LoadFactor,线路负荷功率因数,DOUBLE,4
11,LoadCap,线上无功补偿容量(MVar),DOUBLE,4
12,HeatingLoad,线路热负荷功率(MW),DOUBLE,4
13,RefrigerationLoad,线路冷负荷功率(MW),DOUBLE,4
14,RatedCur,电流限值(A),DOUBLE,4
15,RatedMva,功率限值(MW),DOUBLE,4
16,UnitR,单位电阻(欧姆),DOUBLE,4
17,UnitX,单位电抗(欧姆),DOUBLE,4
18,UnitG,单位电导(西门子),DOUBLE,4
19,UnitB,单位电纳(西门子),DOUBLE,4
20,ri_UnitRerr,单位故障率(次/km.年),DOUBLE,4
21,ri_UnitTrep,单位修复时间(小时/次),DOUBLE,4
22,ri_UnitRchk,单位计划检修率(次/km.年),DOUBLE,4
23,ri_UnitTchk,单位检修时间(小时/次),DOUBLE,4
24,ei_UnitInvest,单位投资费用(万元/km),DOUBLE,4
25,R,电阻(PU),DOUBLE,4
26,X,电抗(PU),DOUBLE,4
27,G,电导(PU),DOUBLE,4
28,B,电纳(PU),DOUBLE,4
29,R0,零序电阻(PU),DOUBLE,4
30,X0,零序电抗(PU),DOUBLE,4
31,B0,零序电纳(PU),DOUBLE,4
32,ri_Rerr,分支线故障率(次/年),DOUBLE,4
33,ri_Trep,分支线修复时间(时间/次),DOUBLE,4
34,ri_Rchk,分支线计划检修率(次/年),DOUBLE,4
35,ri_Tchk,分支线检修时间(时间/次),DOUBLE,4
36,ri_Tfloc,分支线故障定位隔离时间,DOUBLE,4
37,ri_Customer,用户数,DOUBLE,4
38,ri_Load_Rerr,配出负荷故障率(次/年),DOUBLE,4
39,ri_Load_Trep,配出负荷修复时间(小时/次),DOUBLE,4
40,ri_Load_Rchk,配出负荷计划检修率(次/年),DOUBLE,4
41,ri_Load_Tchk,配出负荷检修时间(小时/次),DOUBLE,4
42,ei_Invest,投资费用(万元),DOUBLE,4
43,ei_ConstLoss,每次固定停电损失(万元/次),DOUBLE,4
44,ei_EvalRatio,单位电能停电损失,DOUBLE,4
45,vd_RScc1,单相接地频率(次/年),DOUBLE,4
46,vd_RScc2,相间短路频率(次/年),DOUBLE,4
47,vd_RScc3,三相短路频率(次/年),DOUBLE,4
48,vd_RScc4,两相接地频率(次/年),DOUBLE,4
49,BranchBreaking,分支线出口开断设备,INTEGER,1
50,BreakingType,分支线出口开断设备类型,INTEGER,1
51,ri_sw_rerr,分支线出口开关故障率(次/年),DOUBLE,4
52,ri_sw_trep,分支线出口开关修复时间(时间/次),DOUBLE,4
53,ri_sw_rchk,分支线出口开关计划检修率(次/年),DOUBLE,4
54,ri_sw_tchk,分支线出口开关检修时间(时间/次),DOUBLE,4
55,ri_sw_tfloc,分支线出口开关故障定位隔离时间,DOUBLE,4
56,P,有功(MW),DOUBLE,4
57,Q,无功(MVar),DOUBLE,4
58,A,电流(安培),DOUBLE,4
59,LossP,损耗有功(MW),DOUBLE,4
60,LossQ,损耗无功(MVar),DOUBLE,4
61,ro_ens,年均停电电量(MWh/年),DOUBLE,4
62,eo_loss,停电综合损失(万元),DOUBLE,4
63,sa_Result,N-1通过情况,INTEGER,1
64,sa_Island,N-1形成孤岛,INTEGER,1
65,sa_Failure,N-1负荷损失(MVA),DOUBLE,4
66,sa_ShiftNode,N-1转电节点,INTEGER,4
