序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,ObjectID,ObjectId,STRING,64
2,Substation,厂站,STRING,64
3,VoltageLevel,电压等级,STRING,16
4,Name,名称,STRING,64
5,Description,描述,STRING,64
6,Status,运行状态,INTEGER,1
7,ConnectivityNodeI,起节点,STRING,64
8,ConnectivityNodeJ,终节点,STRING,64
9,Model,设备型号,STRING,32
10,Category,开关类型,INTEGER,1
11,ri_Rerr,故障率(次/台.年),DOUBLE,4
12,ri_Trep,修复时间(小时/次),DOUBLE,4
13,ri_Rchk,计划检修率(次/台.年),DOUBLE,4
14,ri_Tchk,检修时间(小时/次),DOUBLE,4
15,ri_Tfloc,故障定位隔离时间(小时),DOUBLE,4
16,ri_RSwitch,转电成功率,DOUBLE,4
17,ri_TSwitch,转电时间(小时/次),DOUBLE,4
18,ri_Rrswh,拒动概率,DOUBLE,4
19,ri_Reswh,误动概率,DOUBLE,4
20,ei_Invest,投资费用(万元),DOUBLE,4
21,MCRChkBus,设备停母线检修,INTEGER,1
22,P,有功(MW),DOUBLE,4
23,Q,无功(MVar),DOUBLE,4
24,A,电流,DOUBLE,4
25,SccAi,I侧短路电流,DOUBLE,4
26,SccAz,Z侧短路电流,DOUBLE,4
27,ro_RContribution,停运率贡献(%),DOUBLE,4
28,ro_UContribution,停运时间贡献(%),DOUBLE,4
29,ro_EnsContribution,停电电量贡献(%),DOUBLE,4
30,NodeIPtr,起节点索引,INTEGER,4
31,NodeJPtr,终节点索引,INTEGER,4
32,Island,岛,INTEGER,2
33,EdgeI,起边设备索引,INTEGER,4
34,EdgeJ,终边设备索引,INTEGER,4
35,JointDeviceType,控制设备类型,INTEGER,1
36,JointDeviceIndex,控制设备索引,INTEGER,4
37,InnerType,内部分类,INTEGER,1
38,MCRCTLoc,CT位置,INTEGER,1
39,Distribution,配网设备,INTEGER,1
40,NonReliBreaker,不参与可靠性计算,INTEGER,1
41,RingBreaker,合环断路器,INTEGER,1
42,Direction,供电方向,INTEGER,1
43,Outage,设备状态,INTEGER,1
