序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,ObjectID,ObjectId,STRING,64
2,Name,名称,STRING,32
3,Description,描述,STRING,64
4,stid,系统平衡机厂站,STRING,64
5,unid,系统平衡机发电机,STRING,64
6,TotalGenP,总统计发电有功(MW),DOUBLE,4
7,TotalGenQ,总统计发电无功(MVar),DOUBLE,4
8,TotalLoadP,总统计负荷有功(MW),DOUBLE,4
9,TotalLoadQ,总统计负荷无功(MVar),DOUBLE,4
10,TotalCap,总统计电容无功(MVar),DOUBLE,4
11,TotalReac,总统计电抗无功(MVar),DOUBLE,4
12,RunningGenP,总运行发电有功(MW),DOUBLE,4
13,RunningGenQ,总运行发电无功(MVar),DOUBLE,4
14,RunningLoadP,总运行负荷有功(MW),DOUBLE,4
15,RunningLoadQ,总运行负荷无功(MVar),DOUBLE,4
16,RunningCap,总运行电容无功(MVar),DOUBLE,4
17,RunningReac,总运行电抗无功(MVar),DOUBLE,4
18,LossP,网损有功(MW),DOUBLE,4
19,LossQ,网损无功(MVar),DOUBLE,4
20,TieP,交换功率有功(MW),DOUBLE,4
21,TieQ,交换功率无功(MVar),DOUBLE,4
22,ei_Invest,投资总额(万元),DOUBLE,4
23,ei_sprice,电力公司售每度电的收益(元/千瓦时),DOUBLE,4
24,ei_pprice,电力公司购网电价(元/千瓦时),DOUBLE,4
25,ei_iyrate,名义年利率(<1),DOUBLE,4
26,ei_icycle,计息周期(次/年),INTEGER,1
27,ei_credtime,银行贷款时间(年),INTEGER,1
28,ei_constime,工程建设期(年),INTEGER,1
29,ei_deprectime,设备折旧期(年),INTEGER,1
30,ei_residual,保留残值(<1),DOUBLE,4
31,ei_taxrate,所得税税率(<1),DOUBLE,4
32,ei_repairfee,固定资产年维修费(<1),DOUBLE,4
33,ei_insurfee,固定资产年保险费(<1),DOUBLE,4
34,ro_customernum,公司用户总数,DOUBLE,8
35,ro_aci,用户年停电次数(次/年),DOUBLE,8
36,ro_cid,用户年停电时间(小时/年),DOUBLE,8
37,ro_saifi,公司年均停电次数(次/户.年),DOUBLE,8
38,ro_saidi,公司年均停电时间(小时/户.年),DOUBLE,8
39,ro_asai,综合平均理论供电可用率,DOUBLE,8
40,ro_ens,公司年均停电电量(MWh/年),DOUBLE,8
41,ro_aens,用户年均停电电量(MWh/户.年),DOUBLE,8
42,ro_mic,公司停电平均用户数(户/次),DOUBLE,8
43,ro_mid,公司停电平均持续时间(小时/次),DOUBLE,8
44,ro_f_aci,用户年故障停电次数(次/年),DOUBLE,8
45,ro_f_cid,用户年故障停电时间(小时/年),DOUBLE,8
46,ro_f_saifi,公司年均故障停电次数(次/户.年),DOUBLE,8
47,ro_f_saidi,公司年均故障停电时间(小时/户.年),DOUBLE,8
48,ro_f_asai,故障平均理论供电可用率,DOUBLE,8
49,ro_f_ens,公司年均故障停电电量(MWh/年),DOUBLE,8
50,ro_f_aens,用户年均故障停电电量(MWh/户.年),DOUBLE,8
51,ro_f_mic,公司故障停电平均用户数(户/次),DOUBLE,8
52,ro_f_mid,公司故障停电平均持续时间(小时/次),DOUBLE,8
53,ro_a_aci,用户年预安排停电次数(次/年),DOUBLE,8
54,ro_a_cid,用户年预安排停电时间(小时/年),DOUBLE,8
55,ro_a_saifi,公司年均预安排停电次数(次/户.年),DOUBLE,8
56,ro_a_saidi,公司年均预安排停电时间(小时/户.年),DOUBLE,8
57,ro_a_asai,预安排平均理论供电可用率,DOUBLE,8
58,ro_a_ens,公司年均预安排停电电量(MWh/年),DOUBLE,8
59,ro_a_aens,用户年均预安排停电电量(MWh/户.年),DOUBLE,8
60,ro_a_mic,公司预安排停电平均用户数(户/次),DOUBLE,8
61,ro_a_mid,公司预安排停电平均持续时间(小时/次),DOUBLE,8
62,eo_elesupply,"供电电量(含线损,万度/年)",DOUBLE,4
63,eo_elecost,购电成本(万元/年),DOUBLE,4
64,eo_eleincome,售电收益(万元/年),DOUBLE,4
65,eo_rcoef,最小回报系数,DOUBLE,4
66,eo_losscost,线损成本(万元/年),DOUBLE,4
67,eo_relicost,可靠性成本(万元/年),DOUBLE,4
68,eo_fundcost,资金成本(万元/年),DOUBLE,4
69,eo_income,(投产还贷期)年最小收入(万元/年),DOUBLE,4
70,eo_relievcost,考虑产电比停电损失(万元/年),DOUBLE,4
71,eo_evincome,(投产还贷期)考虑产电比年最小收入(万元/年),DOUBLE,4
