序号,名称,描述,类型,长度
0,Substation,厂站,STRING,64
1,VoltageLevel,电压等级,STRING,16
2,Name,名称,STRING,64
3,ACLineSegmentRange,交流线路段范围,INTEGER,4
4,DCLineSegmentRange,直流线路段范围,INTEGER,2
5,TransformerWindingRange,变压器绕组范围,INTEGER,4
6,SeriesCompensatorRange,串联补偿范围,INTEGER,2
7,BreakerRange,断路器范围,INTEGER,4
8,DisconnectorRange,隔离开关范围,INTEGER,4
9,ADConverterRange,交直变换器范围,INTEGER,2
10,DDConverterRange,直直变换器范围,INTEGER,2
11,DCBreakerRange,直流断路器范围,INTEGER,2
12,DCShortCircuitLimitRange,直流短路电流限制器范围,INTEGER,2
13,VoltageLevelPtr,电压等级索引,INTEGER,2
14,BusbarSectionPtr,母线索引,INTEGER,2
15,TopoBus,拓扑节点,INTEGER,4
16,Island,岛,INTEGER,2
17,sa_Ability,节点转电能力(兆瓦),DOUBLE,4
18,InRing,环网标记,INTEGER,1
19,Radiate,辐射网号,INTEGER,2
20,Open,拓扑状态,INTEGER,1
21,TMid,变压器中点,INTEGER,1
