序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,Name,名称,STRING,64
2,Description,描述,STRING,64
3,iSubstation,起厂站,STRING,64
4,zSubstation,终厂站,STRING,64
5,iVoltageLevel,起电压等级,STRING,16
6,zVoltageLevel,终电压等级,STRING,16
7,Line,所属线路,STRING,64
8,ConnectivityNodeI,起直流节点,STRING,64
9,ConnectivityNodeJ,终直流节点,STRING,64
10,Type,线路类型,STRING,64
11,Length,线路长度(KM),DOUBLE,4
12,aLimit,电流限值(A),DOUBLE,4
13,R,电阻(PU),DOUBLE,4
14,L,电感(PU),DOUBLE,4
15,C,电容(PU),DOUBLE,4
16,Alpha,触发角(度),DOUBLE,4
17,Gamma,关断角(度),DOUBLE,4
18,SchedP,控制功率(MW),DOUBLE,4
19,LinePtr,所属线路索引,INTEGER,2
20,NodeIPtr,起节点索引,INTEGER,4
21,NodeJPtr,终节点索引,INTEGER,4
22,TopoBusI,起拓扑节点,INTEGER,4
23,TopoBusJ,终拓扑节点,INTEGER,4
24,Island,岛,INTEGER,2
25,EdgeI,起边线路索引,INTEGER,2
26,EdgeJ,终边线路索引,INTEGER,2
27,State,综合状态(着色),INTEGER,1
28,Open,拓扑状态,INTEGER,1
29,Outage,计算状态,INTEGER,1
