序号,名称,描述,类型,长度
0,ResourceID,资源ID,STRING,64
1,VoltageLevel,电压等级,STRING,16
2,Name,名称,STRING,64
3,SubstationEntity,所属容器(厂站、开闭所等),STRING,64
4,ConnectivityNodeI,起节点,STRING,64
5,ConnectivityNodeZ,终节点,STRING,64
6,Model,设备型号,STRING,64
7,BreakerType,开关类型,INTEGER,1
8,ConstOpen,停运设备,INTEGER,1
9,Status,设备运行状态,INTEGER,1
10,ri_Rerr,故障率(次/台.年),DOUBLE,4
11,ri_Trep,修复时间(小时/次),DOUBLE,4
12,ri_Rchk,计划检修率(次/台.年),DOUBLE,4
13,ri_Tchk,检修时间(小时/次),DOUBLE,4
14,ri_Tfloc,故障定位隔离时间(小时/次),DOUBLE,4
15,ri_RSwitch,操作成功率,DOUBLE,4
16,ri_TSwitch,操作时间(小时/次),DOUBLE,4
17,ri_Tdelay,延时时间(负荷开关/重合器),DOUBLE,4
18,ri_Customer,用户数,DOUBLE,4
19,ri_Load_Rerr,配出负荷故障率(次/台.年),DOUBLE,4
20,ri_Load_Trep,配出负荷修复时间(小时/次),DOUBLE,4
21,ri_Load_Rchk,配出负荷计划检修率(次/台.年),DOUBLE,4
22,ri_Load_Tchk,配出负荷检修时间(小时/次),DOUBLE,4
23,ei_Invest,投资费用(万/台),DOUBLE,4
24,vd_RScc1,单相接地频率(次/年),DOUBLE,4
25,vd_RScc2,相间短路频率(次/年),DOUBLE,4
26,vd_RScc3,三相短路频率(次/年),DOUBLE,4
27,vd_RScc4,两相接地频率(次/年),DOUBLE,4
28,Island,电岛,INTEGER,2
29,scc,短路电流(A),DOUBLE,4
30,sa_Result,N-1通过情况,INTEGER,1
31,sa_Island,N-1形成孤岛,INTEGER,1
32,sa_Failure,N-1负荷损失(MVA),DOUBLE,4
33,sa_Outages,N-1设备负荷损失(MW),DOUBLE,4
34,NodeIPtr,起节点索引,INTEGER,4
35,NodeJPtr,终节点索引,INTEGER,4
