序号,名称,描述,类型,长度
0,ResourceID,资源ID,STRING,64
1,VoltageLevel,电压等级,STRING,16
2,Name,名称,STRING,64
3,ConnectivityNode,节点,STRING,64
4,Type,设备类型,INTEGER,1
5,Model,型号,STRING,64
6,LoadP,负荷(MW),DOUBLE,4
7,LoadFactor,负荷功率因数,DOUBLE,4
8,ShuntCap,无功补偿(Mvar),DOUBLE,4
9,HeatingLoad,热负荷功率(MW),DOUBLE,4
10,RefrigerationLoad,冷负荷功率(MW),DOUBLE,4
11,ri_Rerr,故障率(次/台.年),DOUBLE,4
12,ri_Trep,修复时间(时间/次),DOUBLE,4
13,ri_Rchk,计划检修率(次/台.年),DOUBLE,4
14,ri_Tchk,检修时间(时间/次),DOUBLE,4
15,ri_Tfloc,故障定位隔离时间(小时),DOUBLE,4
16,ri_Customer,用户数,DOUBLE,4
17,ri_Load_Rerr,配出负荷故障率(次/台.年),DOUBLE,4
18,ri_Load_Trep,配出负荷修复时间(时间/次),DOUBLE,4
19,ri_Load_Rchk,配出负荷计划检修率(次/台.年),DOUBLE,4
20,ri_Load_Tchk,配出负荷检修时间(时间/次),DOUBLE,4
21,ei_Invest,投资费用(万元),DOUBLE,4
22,ei_ConstLoss,每次固定停电损失(万元/次),DOUBLE,4
23,ei_EvalRatio,单位电能停电损失,DOUBLE,4
24,vd_RScc1,单相接地频率(次/年),DOUBLE,4
25,vd_RScc2,相间短路频率(次/年),DOUBLE,4
26,vd_RScc3,三相短路频率(次/年),DOUBLE,4
27,vd_RScc4,两相接地频率(次/年),DOUBLE,4
28,Island,电岛,INTEGER,2
29,V,电压(kV),DOUBLE,4
30,D,功角(度),DOUBLE,4
31,Scc,短路电流(A),DOUBLE,4
32,sa_Result,N-1通过情况,INTEGER,1
33,sa_Island,N-1形成孤岛,INTEGER,1
34,sa_Failure,N-1负荷损失(MVA),DOUBLE,4
35,sa_Outages,N-1设备负荷损失(MW),DOUBLE,4
36,eo_loss,停电综合损失(万元),DOUBLE,4
37,OutLineNum,出线规模(回),INTEGER,1
38,InuseOutline,已出线间隔,INTEGER,1
