序号,名称,描述,类型,长度
0,ResourceID,资源ID,STRING,64
1,VoltageLevel,电压等级,STRING,16
2,Name,名称,STRING,64
3,StationType,充/换电站类型,INTEGER,1
4,LandType,地块类型,INTEGER,1
5,ServiceGroup,服务群体,INTEGER,1
6,RateCapacity,额定容量(kVA),DOUBLE,4
7,RatedDailyVisitor,设计日均访问次数(辆),INTEGER,2
8,UnderControl,受控,INTEGER,1
9,ConnectivityNode,节点,STRING,64
10,SubstationEntity,所属容器(厂站、开闭所等),STRING,64
11,PileModel,充电桩型号,STRING,64
12,PileNumber,充电桩台数,INTEGER,2
13,BatteryStock,电池库存数,INTEGER,2
14,BatteryCapacity,平均电池容量(kWh),DOUBLE,4
15,BatteryPower,平均充电功率(kW),DOUBLE,4
16,ChargeEfficiency,充电效率,DOUBLE,4
17,ChargeFactor,充电功率因数,DOUBLE,4
18,ei_Invest,设备费用(万元/台.块),DOUBLE,4
19,ei_AuxInvest,配套设备费用(万元),DOUBLE,4
20,ei_LandInvest,购地费用(万元),DOUBLE,4
21,ei_constloss,每次固定停电损失(万元/次),DOUBLE,4
22,ei_evalratio,单位电能停电损失,DOUBLE,4
23,LoadP,负荷(MW),DOUBLE,4
24,LoadFactor,负荷功率因数,DOUBLE,4
25,v,电压(kV),DOUBLE,4
26,d,功角(度),DOUBLE,4
27,eo_loss,停电综合损失(万元),DOUBLE,4
28,scc,短路电流(A),DOUBLE,4
29,sa_Result,N-1通过情况,INTEGER,1
30,sa_Island,N-1形成孤岛,INTEGER,1
31,sa_Failure,N-1负荷损失(MVA),DOUBLE,4
32,sa_Outages,N-1设备负荷损失(MW),DOUBLE,4
33,MaxChargeLoad,最大总充电负荷,DOUBLE,4
34,AverageLoadRatio,平均负载率,DOUBLE,4
35,DailyChargeNumber,日均实际服务车次,INTEGER,2
36,DailyServiceRatio,日均服务率,DOUBLE,4
37,DailyChargeEnergy,日均充电能量,DOUBLE,4
38,DailyEnergySupply,日均能量供给率,DOUBLE,4
39,ro_rOverLimit,功率越限概率,DOUBLE,4
40,ro_tOverLimit,最大功率越限幅度,DOUBLE,4
41,Island,电岛,INTEGER,2
