序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,ObjectID,ObjectId,STRING,64
2,Substation,变电站,STRING,64
3,VoltageLevel,电压等级,STRING,16
4,Name,名称,STRING,64
5,Description,描述,STRING,64
6,ConnectivityNode,节点,STRING,64
7,Type,负荷类型,INTEGER,1
8,RatedVoc,额定开路电压(kV),DOUBLE,4
9,RatedCapacity,额定容量(Ah),DOUBLE,4
10,LifeCycle,循环寿命(h),DOUBLE,4
11,Effc,充电效率(%),DOUBLE,4
12,Effd,放电效率(%),DOUBLE,4
13,ri_Rerr,故障率(次/台.年),DOUBLE,4
14,ri_Trep,修复时间(小时/次),DOUBLE,4
15,ri_Rchk,计划检修率(次/台.年),DOUBLE,4
16,ri_Tchk,检修时间(小时/次),DOUBLE,4
17,ri_Tfloc,故障定位隔离时间(小时),DOUBLE,4
18,ei_Invest,投资费用(万元),DOUBLE,4
19,V,端电压(kV),DOUBLE,4
20,A,电流(A),DOUBLE,4
21,NodePtr,节点索引,INTEGER,4
22,TopoBus,拓扑节点,INTEGER,4
23,Island,岛,INTEGER,2
24,Outage,计算状态,INTEGER,1
