序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,Substation,厂站,STRING,64
2,Name,名称,STRING,64
3,Description,描述,STRING,64
4,ACConverterNum,交流变换器数,INTEGER,1
5,DCConverterNum,直流变换器数,INTEGER,1
6,VoltagelevelACH,交流高电压等级,STRING,16
7,VoltagelevelACL1,交流低电压等级1,STRING,16
8,VoltagelevelACL2,交流低电压等级2,STRING,16
9,VoltagelevelDCL1,直流低电压等级1,STRING,16
10,VoltagelevelDCL2,直流低电压等级2,STRING,16
11,VoltagelevelDCT,直流中性点电压等级,STRING,16
12,ADConverterH,高压交直变换器,STRING,64
13,ADConverterL1,低压交直变换器1,STRING,64
14,ADConverterL2,低压交直变换器2,STRING,64
15,DDConverterL1,低压直直变换器1,STRING,64
16,DDConverterL2,低压直直变换器2,STRING,64
17,ConnectivityNodeACH,高压交流节点,STRING,64
18,ConnectivityNodeACL1,低压交流节点1,STRING,64
19,ConnectivityNodeACL2,低压交流节点2,STRING,64
20,ConnectivityNodeDCL1,低压直流节点1,STRING,64
21,ConnectivityNodeDCL2,低压直流节点2,STRING,64
22,ConnectivityNodeDCT,直流中性点,STRING,64
23,ri_Rerr,故障率(次/年),DOUBLE,4
24,ri_Trep,修复时间(小时/次),DOUBLE,4
25,ri_Rchk,计划检修率(次/年),DOUBLE,4
26,ri_Tchk,检修时间(小时/次),DOUBLE,4
27,ri_Tfloc,故障定位隔离时间(小时),DOUBLE,4
28,ei_Invest,投资费用(万元),DOUBLE,4
29,ro_RContribution,停运率贡献(%),DOUBLE,4
30,ro_UContribution,停运时间贡献(%),DOUBLE,4
31,ro_EnsContribution,停电电量贡献(%),DOUBLE,4
32,VoltACHPtr,交流高电压等级索引,INTEGER,2
33,VoltACL1Ptr,交流低电压等级1索引,INTEGER,2
34,VoltACL2Ptr,交流低电压等级2索引,INTEGER,2
35,VoltDCL1Ptr,直流低电压等级1索引,INTEGER,2
36,VoltDCL2Ptr,直流低电压等级2索引,INTEGER,2
37,VoltDCTPtr,直流中性点电压等级索引,INTEGER,2
38,ADConverterHPtr,高压交直变换器索引,INTEGER,2
39,ADConverterL1Ptr,低压交直变换器1索引,INTEGER,2
40,ADConverterL2Ptr,低压交直变换器2索引,INTEGER,2
41,DDConverterL1Ptr,低压直直变换器1索引,INTEGER,2
42,DDConverterL2Ptr,低压直直变换器2索引,INTEGER,2
43,NodeACHPtr,高压交流节点索引,INTEGER,4
44,NodeACL1Ptr,低压交流节点1索引,INTEGER,4
45,NodeACL2Ptr,低压交流节点2索引,INTEGER,4
46,NodeDCL1Ptr,低压直流节点1索引,INTEGER,4
47,NodeDCL2Ptr,低压直流节点2索引,INTEGER,4
48,NodeDCTPtr,直流中性点索引,INTEGER,4
