序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,ObjectID,ObjectId,STRING,64
2,Substation,厂站,STRING,64
3,VoltageLevel,电压等级,STRING,16
4,Name,名称,STRING,64
5,Description,描述,STRING,64
6,PlanP,计划有功(兆瓦),DOUBLE,4
7,PlanQ,计划无功(兆乏),DOUBLE,4
8,ConnectivityNode,节点,STRING,64
9,X0,负荷零序电抗(标幺),DOUBLE,4
10,ri_Customer,负荷用户数,DOUBLE,4
11,Type,负荷类型(显示图例),INTEGER,1
12,Capacity,负荷容量(兆瓦),DOUBLE,4
13,MotorCapacity,"马达容量(保护整定,千瓦)",DOUBLE,4
14,LoadModel,负荷静态模型,STRING,32
15,MotorEmws,惯性时间常数(秒),DOUBLE,4
16,MotorPper,马达功率占母线功率的百分比(<1),DOUBLE,4
17,MotorKL,马达负载率(<1)或初始滑差(0.001~0.2),DOUBLE,4
18,MotorRs,马达定子电阻(标幺),DOUBLE,4
19,MotorXs,马达定子电抗(标幺),DOUBLE,4
20,MotorXm,马达激磁电抗(标幺),DOUBLE,4
21,MotorRr,马达转子电阻(标幺),DOUBLE,4
22,MotorXr,马达转子电抗(标幺),DOUBLE,4
23,MotorA,马达转矩方程常数A,DOUBLE,4
24,MotorB,马达转矩方程常数B,DOUBLE,4
25,MotorUseS0,使用初始滑差,INTEGER,1
26,MotorIM,马达滑差=1的处理方式,INTEGER,1
27,AutoUF_Freq,低周减载频率(Hz),DOUBLE,4
28,AutoUF_Delay,低周减载时间(周),DOUBLE,4
29,AutoUF_Plate,低周减载压板,INTEGER,1
30,AutoUV_Volt,低压减载电压(标幺),DOUBLE,4
31,AutoUV_Delay,低压减载时间(周),DOUBLE,4
32,AutoUV_Plate,低压减载压板,INTEGER,1
33,LineSegment,负荷直供线路段,STRING,64
34,ei_Invest,投资费用(万元),DOUBLE,4
35,ei_Constloss,每次固定停电损失(万元/次),DOUBLE,4
36,ei_EvalRatio,单位电能停电损失(万元/兆瓦时),DOUBLE,4
37,MCRType,主接线可靠性设备类型,INTEGER,1
38,TWDCurve,典型工作日负荷曲线,STRING,32
39,THDCurve,典型节假日负荷曲线,STRING,32
40,P,有功(兆瓦),DOUBLE,4
41,Q,无功(兆乏),DOUBLE,4
42,A,电流(安培),DOUBLE,4
43,V,电压(千伏),DOUBLE,4
44,D,功角(度),DOUBLE,4
45,Factor,功率因数,DOUBLE,4
46,ro_r,年均综合停电次数(次/年),DOUBLE,4
47,ro_t,综合停电平均持续时间(小时/次),DOUBLE,4
48,ro_u,年均综合停电时间(小时/年),DOUBLE,4
49,ro_fr,年均故障停电次数(次/年),DOUBLE,4
50,ro_ft,故障停电平均持续时间(小时/次),DOUBLE,4
51,ro_fu,年均故障停电时间(小时/年),DOUBLE,4
52,ro_ar,年均预安排停电次数(次/年),DOUBLE,4
53,ro_at,预安排停电平均持续时间(小时/次),DOUBLE,4
54,ro_au,年均预安排停电时间(小时/年),DOUBLE,4
55,ro_cmr,年均共模停电次数(次/年),DOUBLE,4
56,ro_cmt,共模停电平均持续时间(小时/次),DOUBLE,4
57,ro_cmu,年均共模停电时间(小时/年),DOUBLE,4
58,ro_ens,年停电电量(兆瓦时/年),DOUBLE,4
59,ro_f_ens,年故障停电电量(兆瓦时/年),DOUBLE,4
60,ro_a_ens,年预安排停电电量(兆瓦时/年),DOUBLE,4
61,eo_loss,年停电损失(万元),DOUBLE,4
62,eo_f_loss,年故障停电损失(万元),DOUBLE,4
63,eo_a_loss,年预安排停电损失(万元),DOUBLE,4
64,ro_RContribution,停运率贡献(%),DOUBLE,4
65,ro_UContribution,停运时间贡献(%),DOUBLE,4
66,ro_EnsContribution,停电电量贡献(%),DOUBLE,4
67,RCTime,可靠性计算时间(秒),DOUBLE,4
68,RCCase,可靠性计算情况,INTEGER,1
69,NodePtr,节点索引,INTEGER,4
70,TopoBus,拓扑节点,INTEGER,4
71,Island,岛,INTEGER,2
72,Distribution,配网设备,INTEGER,1
73,ParentType,负荷归属设备类型,INTEGER,1
74,State,综合状态(着色),INTEGER,1
75,Outage,设备状态,INTEGER,1
