序号,名称,描述,类型,长度
0,Drawing,图纸ID,STRING,64
1,GeTable,表,STRING,32
2,KeyField,关键字,STRING,32
3,GeParentID,父ID,STRING,64
4,GeVisible,可见,INTEGER,1
5,GeLayer,层,STRING,32
6,GeFont,字体名称,STRING,32
7,GeColor,颜色,INTEGER,4
8,GeLineStyle,线型,INTEGER,1
9,GeLineWidth,线宽,DOUBLE,8
10,GeSize,大小,DOUBLE,8
11,FloatPoint,小数位数,INTEGER,1
12,LocationX,位置坐标X,DOUBLE,8
13,LocationY,位置坐标Y,DOUBLE,8
14,HAxisX,横轴法向量X,DOUBLE,8
15,HAxisY,横轴法向量Y,DOUBLE,8
16,LAxisX,纵轴法向量X,DOUBLE,8
17,LAxisY,纵轴法向量Y,DOUBLE,8
18,ColorR,Color(R),INTEGER,1
19,ColorG,Color(G),INTEGER,1
20,ColorB,Color(B),INTEGER,1
